# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Philippines,22-01-2020,0,0,0,76.0,0.0,21.0,0.0,246.0,0.0,9.0,0.0,28.0,0.0,24.0,0.0,9.0,0.0
Philippines,23-01-2020,0,0,0,76.0,0.0,21.0,0.0,246.0,0.0,10.0,0.0,28.0,0.0,25.0,0.0,9.0,0.0
Philippines,24-01-2020,0,0,0,87.0,0.0,24.0,0.0,242.0,0.0,78.0,0.0,28.0,0.0,24.0,0.0,5.0,0.0
Philippines,25-01-2020,0,0,0,90.0,0.0,24.0,0.0,243.0,0.0,96.0,0.0,28.0,0.0,25.0,0.0,6.0,0.0
Philippines,26-01-2020,0,0,0,89.0,0.0,24.0,0.0,248.0,0.0,60.0,0.0,28.0,0.0,24.0,0.0,9.0,0.0
Philippines,27-01-2020,0,0,0,86.0,0.0,24.0,0.0,251.0,0.0,41.0,0.0,28.0,0.0,25.0,0.0,9.0,0.0
Philippines,28-01-2020,0,0,0,82.0,0.0,23.0,0.0,250.0,0.0,23.0,0.0,28.0,0.0,25.0,0.0,9.0,0.0
Philippines,29-01-2020,0,0,0,81.0,0.0,23.0,0.0,250.0,0.0,26.0,0.0,28.0,0.0,24.0,0.0,7.0,0.0
Philippines,30-01-2020,1,0,0,78.0,0.0,22.0,0.0,252.0,0.0,28.0,0.0,28.0,0.0,23.0,0.0,7.0,0.0
Philippines,31-01-2020,1,0,0,83.0,0.0,22.0,0.0,250.0,0.0,67.0,0.0,26.0,0.0,23.0,0.0,9.0,0.0
Philippines,01-02-2020,1,0,0,79.0,0.0,21.0,0.0,245.0,0.0,40.0,0.0,27.0,0.0,23.0,0.0,6.0,0.0
Philippines,02-02-2020,2,1,0,76.0,0.0,20.0,0.0,244.0,0.0,18.0,0.0,27.0,0.0,23.0,0.0,6.0,0.0
Philippines,03-02-2020,2,1,0,70.0,0.0,19.0,0.0,246.0,0.0,11.0,0.0,27.0,0.0,23.0,0.0,7.0,0.0
Philippines,04-02-2020,2,1,0,74.0,0.0,20.0,0.0,244.0,0.0,11.0,0.0,26.0,0.0,24.0,0.0,9.0,0.0
Philippines,05-02-2020,2,1,0,83.0,0.0,22.0,0.0,243.0,0.0,39.0,0.0,28.0,0.0,24.0,0.0,10.0,0.0
