# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Portugal,22-01-2020,0,0,0,76.0,0.0,4.0,0.0,412.0,0.0,52.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0
Portugal,23-01-2020,0,0,0,91.0,0.0,7.0,0.0,397.0,0.0,96.0,0.0,11.0,0.0,6.0,0.0,1.0,0.0
Portugal,24-01-2020,0,0,0,89.0,0.0,7.0,0.0,351.0,0.0,87.0,0.0,13.0,0.0,7.0,0.0,2.0,0.0
Portugal,25-01-2020,0,0,0,90.0,0.0,7.0,0.0,330.0,0.0,92.0,0.0,13.0,0.0,3.0,0.0,2.0,0.0
Portugal,26-01-2020,0,0,0,87.0,0.0,5.0,0.0,323.0,0.0,22.0,0.0,14.0,0.0,6.0,0.0,2.0,0.0
Portugal,27-01-2020,0,0,0,96.0,0.0,9.0,0.0,328.0,0.0,95.0,0.0,13.0,0.0,12.0,0.0,2.0,0.0
Portugal,28-01-2020,0,0,0,92.0,0.0,11.0,0.0,322.0,0.0,53.0,0.0,16.0,0.0,9.0,0.0,2.0,0.0
Portugal,29-01-2020,0,0,0,88.0,0.0,10.0,0.0,301.0,0.0,16.0,0.0,16.0,0.0,8.0,0.0,2.0,0.0
Portugal,30-01-2020,0,0,0,94.0,0.0,11.0,0.0,297.0,0.0,48.0,0.0,15.0,0.0,12.0,0.0,2.0,0.0
Portugal,31-01-2020,0,0,0,98.0,0.0,13.0,0.0,295.0,0.0,87.0,0.0,16.0,0.0,13.0,0.0,2.0,0.0
Portugal,01-02-2020,0,0,0,95.0,0.0,13.0,0.0,293.0,0.0,46.0,0.0,17.0,0.0,10.0,0.0,2.0,0.0
Portugal,02-02-2020,0,0,0,88.0,0.0,12.0,0.0,283.0,0.0,5.0,0.0,20.0,0.0,10.0,0.0,2.0,0.0
Portugal,03-02-2020,0,0,0,83.0,0.0,11.0,0.0,285.0,0.0,5.0,0.0,22.0,0.0,8.0,0.0,3.0,0.0
Portugal,04-02-2020,0,0,0,83.0,0.0,9.0,0.0,283.0,0.0,6.0,0.0,21.0,0.0,8.0,0.0,3.0,0.0
Portugal,05-02-2020,0,0,0,71.0,0.0,7.0,0.0,301.0,0.0,6.0,0.0,19.0,0.0,6.0,0.0,3.0,0.0
Portugal,06-02-2020,0,0,0,73.0,0.0,6.0,0.0,310.0,0.0,1.0,0.0,18.0,0.0,7.0,0.0,3.0,0.0
Portugal,07-02-2020,0,0,0,83.0,0.0,8.0,0.0,319.0,0.0,10.0,0.0,17.0,0.0,8.0,0.0,2.0,0.0
