# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Qatar,22-01-2020,0,0,0,57.0,0.0,9.0,0.0,275.0,0.0,3.0,0.0,25.0,0.0,16.0,0.0,6.0,0.0
Qatar,23-01-2020,0,0,0,73.0,0.0,11.0,0.0,274.0,0.0,28.0,0.0,17.0,0.0,13.0,0.0,4.0,0.0
Qatar,24-01-2020,0,0,0,56.0,0.0,6.0,0.0,275.0,0.0,7.0,0.0,19.0,0.0,8.0,0.0,6.0,0.0
Qatar,25-01-2020,0,0,0,52.0,0.0,4.0,0.0,273.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,6.0,0.0
Qatar,26-01-2020,0,0,0,52.0,0.0,3.0,0.0,283.0,0.0,6.0,0.0,16.0,0.0,12.0,0.0,6.0,0.0
Qatar,27-01-2020,0,0,0,57.0,0.0,6.0,0.0,287.0,0.0,3.0,0.0,18.0,0.0,10.0,0.0,6.0,0.0
Qatar,28-01-2020,0,0,0,66.0,0.0,8.0,0.0,280.0,0.0,2.0,0.0,21.0,0.0,8.0,0.0,6.0,0.0
Qatar,29-01-2020,0,0,0,61.0,0.0,6.0,0.0,276.0,0.0,7.0,0.0,21.0,0.0,9.0,0.0,4.0,0.0
Qatar,30-01-2020,0,0,0,48.0,0.0,2.0,0.0,273.0,0.0,3.0,0.0,23.0,0.0,7.0,0.0,6.0,0.0
Qatar,31-01-2020,0,0,0,55.0,0.0,4.0,0.0,265.0,0.0,4.0,0.0,23.0,0.0,9.0,0.0,7.0,0.0
Qatar,01-02-2020,0,0,0,52.0,0.0,5.0,0.0,269.0,0.0,9.0,0.0,26.0,0.0,14.0,0.0,6.0,0.0
Qatar,02-02-2020,0,0,0,60.0,0.0,8.0,0.0,279.0,0.0,5.0,0.0,22.0,0.0,10.0,0.0,6.0,0.0
Qatar,03-02-2020,0,0,0,56.0,0.0,6.0,0.0,293.0,0.0,3.0,0.0,21.0,0.0,9.0,0.0,6.0,0.0
Qatar,04-02-2020,0,0,0,63.0,0.0,7.0,0.0,293.0,0.0,7.0,0.0,21.0,0.0,10.0,0.0,6.0,0.0
Qatar,05-02-2020,0,0,0,60.0,0.0,8.0,0.0,301.0,0.0,5.0,0.0,25.0,0.0,11.0,0.0,6.0,0.0
Qatar,06-02-2020,0,0,0,47.0,0.0,5.0,0.0,291.0,0.0,5.0,0.0,27.0,0.0,13.0,0.0,6.0,0.0
Qatar,07-02-2020,0,0,0,30.0,0.0,0.0,0.0,286.0,0.0,6.0,0.0,29.0,0.0,15.0,0.0,5.0,0.0
Qatar,08-02-2020,0,0,0,47.0,0.0,8.0,0.0,283.0,0.0,3.0,0.0,31.0,0.0,16.0,0.0,7.0,0.0
Qatar,09-02-2020,0,0,0,56.0,0.0,12.0,0.0,277.0,0.0,9.0,0.0,27.0,0.0,17.0,0.0,5.0,0.0
Qatar,10-02-2020,0,0,0,51.0,0.0,8.0,0.0,279.0,0.0,7.0,0.0,21.0,0.0,14.0,0.0,5.0,0.0
Qatar,11-02-2020,0,0,0,54.0,0.0,6.0,0.0,284.0,0.0,6.0,0.0,18.0,0.0,9.0,0.0,6.0,0.0
Qatar,12-02-2020,0,0,0,52.0,0.0,2.0,0.0,314.0,0.0,2.0,0.0,15.0,0.0,8.0,0.0,6.0,0.0
Qatar,13-02-2020,0,0,0,64.0,0.0,6.0,0.0,313.0,0.0,5.0,0.0,18.0,0.0,9.0,0.0,6.0,0.0
Qatar,14-02-2020,0,0,0,65.0,0.0,7.0,0.0,296.0,0.0,5.0,0.0,22.0,0.0,10.0,0.0,7.0,0.0
Qatar,15-02-2020,0,0,0,57.0,0.0,7.0,0.0,289.0,0.0,3.0,0.0,25.0,0.0,9.0,0.0,7.0,0.0
Qatar,16-02-2020,0,0,0,65.0,0.0,9.0,0.0,284.0,0.0,3.0,0.0,26.0,0.0,12.0,0.0,6.0,0.0
Qatar,17-02-2020,0,0,0,61.0,0.0,10.0,0.0,280.0,0.0,5.0,0.0,28.0,0.0,14.0,0.0,5.0,0.0
Qatar,18-02-2020,0,0,0,47.0,0.0,7.0,0.0,273.0,0.0,8.0,0.0,31.0,0.0,14.0,0.0,4.0,0.0
Qatar,19-02-2020,0,0,0,42.0,0.0,6.0,0.0,271.0,0.0,3.0,0.0,31.0,0.0,17.0,0.0,7.0,0.0
Qatar,20-02-2020,0,0,0,48.0,0.0,9.0,0.0,279.0,0.0,4.0,0.0,31.0,0.0,15.0,0.0,6.0,0.0
Qatar,21-02-2020,0,0,0,61.0,0.0,11.0,0.0,289.0,0.0,10.0,0.0,25.0,0.0,14.0,0.0,8.0,0.0
Qatar,22-02-2020,0,0,0,57.0,0.0,9.0,0.0,286.0,0.0,12.0,0.0,28.0,0.0,13.0,0.0,8.0,0.0
Qatar,23-02-2020,0,0,0,70.0,0.0,15.0,0.0,279.0,0.0,10.0,0.0,29.0,0.0,16.0,0.0,8.0,0.0
Qatar,24-02-2020,0,0,0,57.0,0.0,14.0,0.0,275.0,0.0,3.0,0.0,32.0,0.0,18.0,0.0,5.0,0.0
Qatar,25-02-2020,0,0,0,53.0,0.0,14.0,0.0,270.0,0.0,3.0,0.0,33.0,0.0,21.0,0.0,5.0,0.0
Qatar,26-02-2020,0,0,0,49.0,0.0,9.0,0.0,272.0,0.0,5.0,0.0,25.0,0.0,11.0,0.0,6.0,0.0
Qatar,27-02-2020,0,0,0,56.0,0.0,7.0,0.0,274.0,0.0,2.0,0.0,23.0,0.0,12.0,0.0,9.0,0.0
Qatar,28-02-2020,0,0,0,61.0,0.0,10.0,0.0,271.0,0.0,3.0,0.0,24.0,0.0,11.0,0.0,9.0,0.0
Qatar,29-02-2020,1,0,0,60.0,0.0,9.0,0.0,271.0,0.0,1.0,0.0,27.0,0.0,12.0,0.0,8.0,0.0
Qatar,01-03-2020,3,0,0,51.0,0.0,7.0,0.0,271.0,0.0,5.0,0.0,31.0,0.0,14.0,0.0,9.0,0.0
Qatar,02-03-2020,3,0,0,59.0,0.0,11.0,0.0,273.0,0.0,4.0,0.0,26.0,0.0,14.0,0.0,9.0,0.0
Qatar,03-03-2020,7,0,0,52.0,0.0,8.0,0.0,275.0,0.0,5.0,0.0,24.0,0.0,13.0,0.0,9.0,0.0
Qatar,04-03-2020,8,0,0,48.0,0.0,7.0,0.0,278.0,0.0,1.0,0.0,24.0,0.0,13.0,0.0,9.0,0.0
Qatar,05-03-2020,8,0,0,55.0,0.0,8.0,0.0,277.0,0.0,2.0,0.0,26.0,0.0,10.0,0.0,9.0,0.0
Qatar,06-03-2020,8,0,0,52.0,0.0,5.0,0.0,277.0,0.0,2.0,0.0,28.0,0.0,11.0,0.0,9.0,0.0
Qatar,07-03-2020,8,0,0,43.0,0.0,3.0,0.0,284.0,0.0,2.0,0.0,29.0,0.0,12.0,0.0,9.0,0.0
Qatar,08-03-2020,15,0,0,46.0,0.0,5.0,0.0,293.0,0.0,5.0,0.0,29.0,0.0,13.0,0.0,9.0,0.0
Qatar,09-03-2020,18,0,0,55.0,0.0,9.0,0.0,302.0,0.0,3.0,0.0,25.0,0.0,12.0,0.0,9.0,0.0
Qatar,10-03-2020,24,0,0,59.0,0.0,10.0,0.0,296.0,0.0,4.0,0.0,28.0,0.0,11.0,0.0,9.0,0.0
