# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Romania,22-01-2020,0,0,0,72.0,0.0,-8.0,0.0,322.0,0.0,2.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0
Romania,23-01-2020,0,0,0,76.0,0.0,-6.0,0.0,357.0,0.0,34.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Romania,24-01-2020,0,0,0,65.0,0.0,-8.0,0.0,318.0,0.0,2.0,0.0,1.0,0.0,-5.0,0.0,2.0,0.0
Romania,25-01-2020,0,0,0,57.0,0.0,-7.0,0.0,293.0,0.0,3.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Romania,26-01-2020,0,0,0,82.0,0.0,-1.0,0.0,296.0,0.0,11.0,0.0,8.0,0.0,-3.0,0.0,2.0,0.0
Romania,27-01-2020,0,0,0,82.0,0.0,-1.0,0.0,311.0,0.0,25.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Romania,28-01-2020,0,0,0,87.0,0.0,0.0,0.0,337.0,0.0,28.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Romania,29-01-2020,0,0,0,82.0,0.0,-2.0,0.0,409.0,0.0,67.0,0.0,2.0,0.0,-2.0,0.0,1.0,0.0
Romania,30-01-2020,0,0,0,79.0,0.0,-3.0,0.0,413.0,0.0,38.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
Romania,31-01-2020,0,0,0,73.0,0.0,-1.0,0.0,327.0,0.0,49.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Romania,01-02-2020,0,0,0,87.0,0.0,3.0,0.0,293.0,0.0,45.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0
Romania,02-02-2020,0,0,0,79.0,0.0,2.0,0.0,307.0,0.0,46.0,0.0,9.0,0.0,4.0,0.0,1.0,0.0
Romania,03-02-2020,0,0,0,87.0,0.0,3.0,0.0,341.0,0.0,93.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Romania,04-02-2020,0,0,0,88.0,0.0,2.0,0.0,358.0,0.0,81.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Romania,05-02-2020,0,0,0,86.0,0.0,-1.0,0.0,406.0,0.0,86.0,0.0,2.0,0.0,-5.0,0.0,1.0,0.0
Romania,06-02-2020,0,0,0,57.0,0.0,-10.0,0.0,400.0,0.0,11.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0
Romania,07-02-2020,0,0,0,81.0,0.0,-5.0,0.0,363.0,0.0,59.0,0.0,0.0,0.0,-11.0,0.0,1.0,0.0
Romania,08-02-2020,0,0,0,56.0,0.0,-13.0,0.0,355.0,0.0,2.0,0.0,-2.0,0.0,-9.0,0.0,2.0,0.0
Romania,09-02-2020,0,0,0,57.0,0.0,-10.0,0.0,327.0,0.0,3.0,0.0,3.0,0.0,-6.0,0.0,2.0,0.0
Romania,10-02-2020,0,0,0,69.0,0.0,-4.0,0.0,318.0,0.0,46.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
Romania,11-02-2020,0,0,0,76.0,0.0,-1.0,0.0,313.0,0.0,57.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Romania,12-02-2020,0,0,0,70.0,0.0,-3.0,0.0,345.0,0.0,39.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Romania,13-02-2020,0,0,0,70.0,0.0,-4.0,0.0,363.0,0.0,27.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Romania,14-02-2020,0,0,0,63.0,0.0,-5.0,0.0,407.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
Romania,15-02-2020,0,0,0,83.0,0.0,-1.0,0.0,362.0,0.0,45.0,0.0,4.0,0.0,-4.0,0.0,2.0,0.0
Romania,16-02-2020,0,0,0,70.0,0.0,-4.0,0.0,332.0,0.0,3.0,0.0,8.0,0.0,-4.0,0.0,3.0,0.0
Romania,17-02-2020,0,0,0,65.0,0.0,-3.0,0.0,299.0,0.0,5.0,0.0,12.0,0.0,-1.0,0.0,3.0,0.0
Romania,18-02-2020,0,0,0,71.0,0.0,0.0,0.0,323.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
Romania,19-02-2020,0,0,0,82.0,0.0,0.0,0.0,342.0,0.0,37.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Romania,20-02-2020,0,0,0,81.0,0.0,-1.0,0.0,398.0,0.0,32.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Romania,21-02-2020,0,0,0,75.0,0.0,-2.0,0.0,341.0,0.0,33.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Romania,22-02-2020,0,0,0,79.0,0.0,-3.0,0.0,369.0,0.0,32.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Romania,23-02-2020,0,0,0,63.0,0.0,-2.0,0.0,337.0,0.0,5.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0
Romania,24-02-2020,0,0,0,66.0,0.0,0.0,0.0,360.0,0.0,77.0,0.0,7.0,0.0,-2.0,0.0,2.0,0.0
Romania,25-02-2020,0,0,0,57.0,0.0,-3.0,0.0,354.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0
Romania,26-02-2020,1,0,0,61.0,0.0,0.0,0.0,338.0,0.0,12.0,0.0,16.0,0.0,2.0,0.0,3.0,0.0
Romania,27-02-2020,1,0,0,88.0,0.0,0.0,0.0,384.0,0.0,86.0,0.0,3.0,0.0,-3.0,0.0,2.0,0.0
Romania,28-02-2020,3,0,0,74.0,0.0,-3.0,0.0,387.0,0.0,63.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
Romania,29-02-2020,3,0,0,78.0,0.0,-3.0,0.0,374.0,0.0,56.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Romania,01-03-2020,3,0,0,62.0,0.0,-3.0,0.0,352.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Romania,02-03-2020,3,0,0,69.0,0.0,0.0,0.0,356.0,0.0,17.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0
Romania,03-03-2020,3,0,0,62.0,0.0,2.0,0.0,334.0,0.0,6.0,0.0,18.0,0.0,5.0,0.0,2.0,0.0
Romania,04-03-2020,4,0,1,66.0,0.0,4.0,0.0,359.0,0.0,48.0,0.0,16.0,0.0,1.0,0.0,2.0,0.0
Romania,05-03-2020,6,0,1,87.0,0.0,1.0,0.0,403.0,0.0,81.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Romania,06-03-2020,9,0,1,74.0,0.0,0.0,0.0,346.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0
Romania,07-03-2020,9,0,3,68.0,0.0,0.0,0.0,342.0,0.0,23.0,0.0,15.0,0.0,4.0,0.0,3.0,0.0
Romania,08-03-2020,15,0,3,89.0,0.0,4.0,0.0,349.0,0.0,84.0,0.0,7.0,0.0,3.0,0.0,2.0,0.0
Romania,09-03-2020,15,0,3,91.0,0.0,4.0,0.0,352.0,0.0,63.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0
Romania,10-03-2020,25,0,3,88.0,0.0,4.0,0.0,366.0,0.0,24.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0
Romania,11-03-2020,45,0,6,78.0,0.0,2.0,0.0,355.0,0.0,19.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0
Romania,12-03-2020,49,0,6,69.0,0.0,4.0,0.0,317.0,0.0,11.0,0.0,18.0,0.0,5.0,0.0,4.0,0.0
Romania,13-03-2020,89,0,7,66.0,0.0,4.0,0.0,319.0,0.0,57.0,0.0,19.0,0.0,3.0,0.0,4.0,0.0
Romania,14-03-2020,123,0,9,59.0,0.0,-1.0,0.0,339.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0
Romania,15-03-2020,131,0,9,54.0,0.0,-6.0,0.0,400.0,0.0,11.0,0.0,8.0,0.0,-4.0,0.0,2.0,0.0
Romania,16-03-2020,158,0,9,30.0,0.0,-16.0,0.0,394.0,0.0,0.0,0.0,11.0,0.0,-2.0,0.0,4.0,0.0
Romania,17-03-2020,184,0,16,33.0,0.0,-12.0,0.0,391.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0
Romania,18-03-2020,260,0,19,50.0,0.0,-5.0,0.0,388.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0
Romania,19-03-2020,277,0,25,52.0,0.0,-3.0,0.0,361.0,0.0,1.0,0.0,15.0,0.0,3.0,0.0,4.0,0.0
