# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Russia,22-01-2020,0,0,0,65.0,0.0,-31.0,0.0,339.0,0.0,15.0,0.0,-22.0,0.0,-23.0,0.0,0.0,0.0
Russia,23-01-2020,0,0,0,73.0,0.0,-21.0,0.0,312.0,0.0,28.0,0.0,-13.0,0.0,-14.0,0.0,0.0,0.0
Russia,24-01-2020,0,0,0,90.0,0.0,-7.0,0.0,296.0,0.0,71.0,0.0,-3.0,0.0,-5.0,0.0,0.0,0.0
Russia,25-01-2020,0,0,0,89.0,0.0,-4.0,0.0,311.0,0.0,63.0,0.0,-1.0,0.0,-9.0,0.0,0.0,0.0
Russia,26-01-2020,0,0,0,71.0,0.0,-11.0,0.0,355.0,0.0,42.0,0.0,-5.0,0.0,-10.0,0.0,0.0,0.0
Russia,27-01-2020,0,0,0,69.0,0.0,-13.0,0.0,348.0,0.0,28.0,0.0,-7.0,0.0,-8.0,0.0,0.0,0.0
Russia,28-01-2020,0,0,0,79.0,0.0,-7.0,0.0,312.0,0.0,48.0,0.0,-1.0,0.0,-8.0,0.0,0.0,0.0
Russia,29-01-2020,0,0,0,77.0,0.0,-10.0,0.0,328.0,0.0,40.0,0.0,-5.0,0.0,-22.0,0.0,0.0,0.0
Russia,30-01-2020,0,0,0,55.0,0.0,-26.0,0.0,329.0,0.0,18.0,0.0,-18.0,0.0,-25.0,0.0,0.0,0.0
Russia,31-01-2020,0,0,0,55.0,0.0,-29.0,0.0,336.0,0.0,16.0,0.0,-21.0,0.0,-32.0,0.0,0.0,0.0
Russia,01-02-2020,0,0,0,51.0,0.0,-35.0,0.0,331.0,0.0,5.0,0.0,-24.0,0.0,-31.0,0.0,0.0,0.0
Russia,02-02-2020,0,0,0,53.0,0.0,-33.0,0.0,303.0,0.0,4.0,0.0,-23.0,0.0,-24.0,0.0,0.0,0.0
Russia,03-02-2020,0,0,0,60.0,0.0,-25.0,0.0,287.0,0.0,22.0,0.0,-17.0,0.0,-19.0,0.0,0.0,0.0
Russia,04-02-2020,0,0,0,66.0,0.0,-21.0,0.0,278.0,0.0,7.0,0.0,-14.0,0.0,-18.0,0.0,0.0,0.0
Russia,05-02-2020,0,0,0,75.0,0.0,-16.0,0.0,272.0,0.0,6.0,0.0,-9.0,0.0,-9.0,0.0,0.0,0.0
Russia,06-02-2020,0,0,0,84.0,0.0,-7.0,0.0,308.0,0.0,14.0,0.0,-3.0,0.0,-4.0,0.0,0.0,0.0
Russia,07-02-2020,0,0,0,77.0,0.0,-7.0,0.0,344.0,0.0,34.0,0.0,-1.0,0.0,-13.0,0.0,0.0,0.0
Russia,08-02-2020,0,0,0,79.0,0.0,-11.0,0.0,325.0,0.0,38.0,0.0,-4.0,0.0,-5.0,0.0,0.0,0.0
Russia,09-02-2020,0,0,0,80.0,0.0,-8.0,0.0,356.0,0.0,52.0,0.0,-1.0,0.0,-18.0,0.0,0.0,0.0
Russia,10-02-2020,0,0,0,64.0,0.0,-21.0,0.0,377.0,0.0,18.0,0.0,-14.0,0.0,-19.0,0.0,0.0,0.0
Russia,11-02-2020,0,0,0,64.0,0.0,-20.0,0.0,395.0,0.0,16.0,0.0,-12.0,0.0,-14.0,0.0,0.0,0.0
Russia,12-02-2020,0,0,0,72.0,0.0,-16.0,0.0,319.0,0.0,11.0,0.0,-9.0,0.0,-14.0,0.0,1.0,0.0
Russia,13-02-2020,0,0,0,73.0,0.0,-16.0,0.0,324.0,0.0,5.0,0.0,-9.0,0.0,-15.0,0.0,1.0,0.0
Russia,14-02-2020,0,0,0,75.0,0.0,-14.0,0.0,315.0,0.0,4.0,0.0,-6.0,0.0,-11.0,0.0,1.0,0.0
Russia,15-02-2020,0,0,0,80.0,0.0,-12.0,0.0,319.0,0.0,6.0,0.0,-5.0,0.0,-17.0,0.0,1.0,0.0
Russia,16-02-2020,0,0,0,77.0,0.0,-15.0,0.0,384.0,0.0,12.0,0.0,-7.0,0.0,-14.0,0.0,0.0,0.0
Russia,17-02-2020,0,0,0,79.0,0.0,-13.0,0.0,422.0,0.0,5.0,0.0,-7.0,0.0,-8.0,0.0,0.0,0.0
Russia,18-02-2020,0,0,0,81.0,0.0,-9.0,0.0,392.0,0.0,34.0,0.0,-4.0,0.0,-8.0,0.0,1.0,0.0
Russia,19-02-2020,0,0,0,74.0,0.0,-10.0,0.0,371.0,0.0,36.0,0.0,-5.0,0.0,-7.0,0.0,1.0,0.0
Russia,20-02-2020,0,0,0,82.0,0.0,-6.0,0.0,353.0,0.0,52.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0
Russia,21-02-2020,0,0,0,85.0,0.0,-5.0,0.0,363.0,0.0,50.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Russia,22-02-2020,0,0,0,86.0,0.0,-6.0,0.0,341.0,0.0,38.0,0.0,-1.0,0.0,-6.0,0.0,1.0,0.0
Russia,23-02-2020,0,0,0,82.0,0.0,-8.0,0.0,344.0,0.0,33.0,0.0,-3.0,0.0,-16.0,0.0,1.0,0.0
Russia,24-02-2020,0,0,0,71.0,0.0,-16.0,0.0,328.0,0.0,4.0,0.0,-5.0,0.0,-17.0,0.0,1.0,0.0
Russia,25-02-2020,0,0,0,71.0,0.0,-17.0,0.0,341.0,0.0,5.0,0.0,-6.0,0.0,-16.0,0.0,1.0,0.0
Russia,26-02-2020,0,0,0,73.0,0.0,-16.0,0.0,367.0,0.0,6.0,0.0,-8.0,0.0,-18.0,0.0,1.0,0.0
