# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Saint Kitts and Nevis,22-01-2020,0,0,0,99.0,0.0,22.0,0.0,246.0,0.0,61.0,0.0,23.0,0.0,22.0,0.0,7.0,0.0
Saint Kitts and Nevis,23-01-2020,0,0,0,99.0,0.0,22.0,0.0,246.0,0.0,28.0,0.0,23.0,0.0,22.0,0.0,7.0,0.0
Saint Kitts and Nevis,24-01-2020,0,0,0,100.0,0.0,22.0,0.0,245.0,0.0,65.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,25-01-2020,0,0,0,100.0,0.0,23.0,0.0,247.0,0.0,56.0,0.0,23.0,0.0,21.0,0.0,8.0,0.0
Saint Kitts and Nevis,26-01-2020,0,0,0,100.0,0.0,22.0,0.0,249.0,0.0,34.0,0.0,23.0,0.0,21.0,0.0,8.0,0.0
Saint Kitts and Nevis,27-01-2020,0,0,0,100.0,0.0,22.0,0.0,253.0,0.0,76.0,0.0,23.0,0.0,21.0,0.0,7.0,0.0
Saint Kitts and Nevis,28-01-2020,0,0,0,99.0,0.0,22.0,0.0,253.0,0.0,66.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,29-01-2020,0,0,0,99.0,0.0,22.0,0.0,257.0,0.0,13.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,30-01-2020,0,0,0,98.0,0.0,22.0,0.0,258.0,0.0,24.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,31-01-2020,0,0,0,98.0,0.0,22.0,0.0,257.0,0.0,16.0,0.0,24.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,01-02-2020,0,0,0,98.0,0.0,22.0,0.0,257.0,0.0,11.0,0.0,24.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,02-02-2020,0,0,0,98.0,0.0,22.0,0.0,252.0,0.0,12.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,03-02-2020,0,0,0,98.0,0.0,22.0,0.0,251.0,0.0,14.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,04-02-2020,0,0,0,98.0,0.0,22.0,0.0,251.0,0.0,15.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,05-02-2020,0,0,0,99.0,0.0,22.0,0.0,259.0,0.0,20.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,06-02-2020,0,0,0,100.0,0.0,23.0,0.0,262.0,0.0,38.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,07-02-2020,0,0,0,100.0,0.0,23.0,0.0,261.0,0.0,25.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0
Saint Kitts and Nevis,08-02-2020,0,0,0,99.0,0.0,23.0,0.0,260.0,0.0,27.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,09-02-2020,0,0,0,98.0,0.0,22.0,0.0,266.0,0.0,31.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,10-02-2020,0,0,0,100.0,0.0,23.0,0.0,267.0,0.0,46.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,11-02-2020,0,0,0,99.0,0.0,22.0,0.0,269.0,0.0,55.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,12-02-2020,0,0,0,100.0,0.0,22.0,0.0,277.0,0.0,36.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,13-02-2020,0,0,0,100.0,0.0,22.0,0.0,285.0,0.0,52.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,14-02-2020,0,0,0,99.0,0.0,22.0,0.0,281.0,0.0,45.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,15-02-2020,0,0,0,100.0,0.0,22.0,0.0,279.0,0.0,69.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Saint Kitts and Nevis,16-02-2020,0,0,0,100.0,0.0,22.0,0.0,277.0,0.0,72.0,0.0,23.0,0.0,21.0,0.0,7.0,0.0
Saint Kitts and Nevis,17-02-2020,0,0,0,100.0,0.0,22.0,0.0,272.0,0.0,73.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,18-02-2020,0,0,0,100.0,0.0,22.0,0.0,275.0,0.0,46.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,19-02-2020,0,0,0,100.0,0.0,22.0,0.0,278.0,0.0,20.0,0.0,23.0,0.0,22.0,0.0,9.0,0.0
Saint Kitts and Nevis,20-02-2020,0,0,0,99.0,0.0,22.0,0.0,279.0,0.0,27.0,0.0,23.0,0.0,22.0,0.0,8.0,0.0
Saint Kitts and Nevis,21-02-2020,0,0,0,98.0,0.0,22.0,0.0,272.0,0.0,17.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,22-02-2020,0,0,0,97.0,0.0,21.0,0.0,264.0,0.0,24.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,23-02-2020,0,0,0,97.0,0.0,21.0,0.0,264.0,0.0,33.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,24-02-2020,0,0,0,92.0,0.0,21.0,0.0,270.0,0.0,19.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,25-02-2020,0,0,0,95.0,0.0,21.0,0.0,272.0,0.0,15.0,0.0,23.0,0.0,22.0,0.0,10.0,0.0
Saint Kitts and Nevis,26-02-2020,0,0,0,99.0,0.0,22.0,0.0,267.0,0.0,14.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,27-02-2020,0,0,0,100.0,0.0,22.0,0.0,262.0,0.0,49.0,0.0,22.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,28-02-2020,0,0,0,99.0,0.0,22.0,0.0,271.0,0.0,9.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Saint Kitts and Nevis,29-02-2020,0,0,0,98.0,0.0,22.0,0.0,276.0,0.0,8.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,01-03-2020,0,0,0,99.0,0.0,22.0,0.0,277.0,0.0,28.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Saint Kitts and Nevis,02-03-2020,0,0,0,97.0,0.0,22.0,0.0,279.0,0.0,10.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,03-03-2020,0,0,0,95.0,0.0,21.0,0.0,277.0,0.0,9.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
Saint Kitts and Nevis,04-03-2020,0,0,0,98.0,0.0,22.0,0.0,269.0,0.0,22.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,05-03-2020,0,0,0,100.0,0.0,22.0,0.0,265.0,0.0,16.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,06-03-2020,0,0,0,98.0,0.0,22.0,0.0,267.0,0.0,13.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,07-03-2020,0,0,0,98.0,0.0,22.0,0.0,268.0,0.0,19.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,08-03-2020,0,0,0,100.0,0.0,22.0,0.0,267.0,0.0,28.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,09-03-2020,0,0,0,94.0,0.0,21.0,0.0,270.0,0.0,8.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,10-03-2020,0,0,0,93.0,0.0,21.0,0.0,274.0,0.0,13.0,0.0,23.0,0.0,21.0,0.0,11.0,0.0
Saint Kitts and Nevis,11-03-2020,0,0,0,98.0,0.0,22.0,0.0,272.0,0.0,22.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
