# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Senegal,22-01-2020,0,0,0,9.0,0.0,-8.0,0.0,252.0,0.0,3.0,0.0,36.0,0.0,24.0,0.0,5.0,0.0
Senegal,23-01-2020,0,0,0,11.0,0.0,-4.0,0.0,251.0,0.0,8.0,0.0,36.0,0.0,24.0,0.0,5.0,0.0
Senegal,24-01-2020,0,0,0,20.0,0.0,4.0,0.0,252.0,0.0,7.0,0.0,38.0,0.0,24.0,0.0,7.0,0.0
Senegal,25-01-2020,0,0,0,14.0,0.0,-5.0,0.0,254.0,0.0,5.0,0.0,38.0,0.0,21.0,0.0,7.0,0.0
Senegal,26-01-2020,0,0,0,9.0,0.0,-9.0,0.0,254.0,0.0,3.0,0.0,37.0,0.0,23.0,0.0,5.0,0.0
Senegal,27-01-2020,0,0,0,6.0,0.0,-11.0,0.0,259.0,0.0,5.0,0.0,39.0,0.0,21.0,0.0,6.0,0.0
Senegal,28-01-2020,0,0,0,5.0,0.0,-14.0,0.0,257.0,0.0,4.0,0.0,39.0,0.0,21.0,0.0,6.0,0.0
Senegal,29-01-2020,0,0,0,5.0,0.0,-16.0,0.0,257.0,0.0,7.0,0.0,39.0,0.0,23.0,0.0,8.0,0.0
Senegal,30-01-2020,0,0,0,6.0,0.0,-13.0,0.0,260.0,0.0,8.0,0.0,39.0,0.0,23.0,0.0,9.0,0.0
Senegal,31-01-2020,0,0,0,5.0,0.0,-14.0,0.0,254.0,0.0,6.0,0.0,39.0,0.0,21.0,0.0,10.0,0.0
Senegal,01-02-2020,0,0,0,5.0,0.0,-15.0,0.0,254.0,0.0,4.0,0.0,40.0,0.0,18.0,0.0,10.0,0.0
Senegal,02-02-2020,0,0,0,18.0,0.0,0.0,0.0,251.0,0.0,2.0,0.0,39.0,0.0,21.0,0.0,7.0,0.0
Senegal,03-02-2020,0,0,0,25.0,0.0,-2.0,0.0,253.0,0.0,4.0,0.0,38.0,0.0,22.0,0.0,8.0,0.0
Senegal,04-02-2020,0,0,0,4.0,0.0,-17.0,0.0,250.0,0.0,5.0,0.0,38.0,0.0,19.0,0.0,8.0,0.0
Senegal,05-02-2020,0,0,0,3.0,0.0,-22.0,0.0,253.0,0.0,6.0,0.0,38.0,0.0,18.0,0.0,9.0,0.0
Senegal,06-02-2020,0,0,0,3.0,0.0,-20.0,0.0,261.0,0.0,3.0,0.0,38.0,0.0,20.0,0.0,10.0,0.0
Senegal,07-02-2020,0,0,0,4.0,0.0,-19.0,0.0,264.0,0.0,5.0,0.0,37.0,0.0,19.0,0.0,10.0,0.0
Senegal,08-02-2020,0,0,0,4.0,0.0,-19.0,0.0,263.0,0.0,3.0,0.0,37.0,0.0,19.0,0.0,7.0,0.0
