# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Serbia,22-01-2020,0,0,0,67.0,0.0,-6.0,0.0,356.0,0.0,1.0,0.0,6.0,0.0,-2.0,0.0,1.0,0.0
Serbia,23-01-2020,0,0,0,72.0,0.0,-5.0,0.0,327.0,0.0,6.0,0.0,4.0,0.0,-5.0,0.0,2.0,0.0
Serbia,24-01-2020,0,0,0,61.0,0.0,-7.0,0.0,327.0,0.0,2.0,0.0,6.0,0.0,-2.0,0.0,2.0,0.0
Serbia,25-01-2020,0,0,0,70.0,0.0,-2.0,0.0,298.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
Serbia,26-01-2020,0,0,0,78.0,0.0,1.0,0.0,295.0,0.0,7.0,0.0,11.0,0.0,3.0,0.0,2.0,0.0
Serbia,27-01-2020,0,0,0,92.0,0.0,2.0,0.0,326.0,0.0,96.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Serbia,28-01-2020,0,0,0,83.0,0.0,1.0,0.0,348.0,0.0,7.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0
Serbia,29-01-2020,0,0,0,81.0,0.0,1.0,0.0,394.0,0.0,79.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Serbia,30-01-2020,0,0,0,77.0,0.0,-1.0,0.0,359.0,0.0,30.0,0.0,7.0,0.0,-2.0,0.0,1.0,0.0
Serbia,31-01-2020,0,0,0,62.0,0.0,-2.0,0.0,312.0,0.0,7.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Serbia,01-02-2020,0,0,0,70.0,0.0,3.0,0.0,291.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,2.0,0.0
Serbia,02-02-2020,0,0,0,78.0,0.0,4.0,0.0,314.0,0.0,24.0,0.0,15.0,0.0,4.0,0.0,2.0,0.0
Serbia,03-02-2020,0,0,0,74.0,0.0,4.0,0.0,321.0,0.0,28.0,0.0,14.0,0.0,5.0,0.0,2.0,0.0
Serbia,04-02-2020,0,0,0,79.0,0.0,4.0,0.0,344.0,0.0,74.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0
Serbia,05-02-2020,0,0,0,87.0,0.0,-1.0,0.0,414.0,0.0,97.0,0.0,1.0,0.0,-3.0,0.0,1.0,0.0
Serbia,06-02-2020,0,0,0,56.0,0.0,-8.0,0.0,393.0,0.0,17.0,0.0,3.0,0.0,-1.0,0.0,1.0,0.0
Serbia,07-02-2020,0,0,0,74.0,0.0,-2.0,0.0,361.0,0.0,18.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Serbia,08-02-2020,0,0,0,63.0,0.0,-5.0,0.0,339.0,0.0,14.0,0.0,7.0,0.0,-4.0,0.0,2.0,0.0
Serbia,09-02-2020,0,0,0,68.0,0.0,-3.0,0.0,325.0,0.0,3.0,0.0,11.0,0.0,-1.0,0.0,2.0,0.0
Serbia,10-02-2020,0,0,0,69.0,0.0,0.0,0.0,304.0,0.0,14.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0
Serbia,11-02-2020,0,0,0,88.0,0.0,3.0,0.0,277.0,0.0,100.0,0.0,10.0,0.0,2.0,0.0,2.0,0.0
Serbia,12-02-2020,0,0,0,71.0,0.0,0.0,0.0,306.0,0.0,52.0,0.0,9.0,0.0,-2.0,0.0,2.0,0.0
Serbia,13-02-2020,0,0,0,69.0,0.0,-1.0,0.0,333.0,0.0,9.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0
Serbia,14-02-2020,0,0,0,84.0,0.0,1.0,0.0,391.0,0.0,88.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Serbia,15-02-2020,0,0,0,79.0,0.0,1.0,0.0,342.0,0.0,31.0,0.0,10.0,0.0,-1.0,0.0,2.0,0.0
Serbia,16-02-2020,0,0,0,75.0,0.0,0.0,0.0,330.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Serbia,17-02-2020,0,0,0,64.0,0.0,0.0,0.0,298.0,0.0,5.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0
Serbia,18-02-2020,0,0,0,73.0,0.0,2.0,0.0,315.0,0.0,7.0,0.0,13.0,0.0,3.0,0.0,3.0,0.0
Serbia,19-02-2020,0,0,0,65.0,0.0,0.0,0.0,340.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,2.0,0.0
Serbia,20-02-2020,0,0,0,80.0,0.0,0.0,0.0,381.0,0.0,85.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Serbia,21-02-2020,0,0,0,66.0,0.0,-2.0,0.0,339.0,0.0,23.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0
Serbia,22-02-2020,0,0,0,65.0,0.0,-2.0,0.0,350.0,0.0,24.0,0.0,8.0,0.0,-1.0,0.0,2.0,0.0
Serbia,23-02-2020,0,0,0,61.0,0.0,-2.0,0.0,323.0,0.0,3.0,0.0,14.0,0.0,3.0,0.0,2.0,0.0
Serbia,24-02-2020,0,0,0,61.0,0.0,0.0,0.0,333.0,0.0,28.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
Serbia,25-02-2020,0,0,0,56.0,0.0,0.0,0.0,341.0,0.0,3.0,0.0,18.0,0.0,5.0,0.0,3.0,0.0
Serbia,26-02-2020,0,0,0,59.0,0.0,2.0,0.0,357.0,0.0,76.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0
