# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Singapore,22-01-2020,0,0,0,90.0,0.0,26.0,0.0,242.0,0.0,36.0,0.0,31.0,0.0,25.0,0.0,10.0,0.0
Singapore,23-01-2020,1,0,0,88.0,0.0,25.0,0.0,245.0,0.0,33.0,0.0,31.0,0.0,25.0,0.0,11.0,0.0
Singapore,24-01-2020,3,0,0,83.0,0.0,24.0,0.0,249.0,0.0,8.0,0.0,32.0,0.0,24.0,0.0,10.0,0.0
Singapore,25-01-2020,3,0,0,83.0,0.0,24.0,0.0,250.0,0.0,12.0,0.0,32.0,0.0,25.0,0.0,11.0,0.0
Singapore,26-01-2020,4,0,0,86.0,0.0,25.0,0.0,246.0,0.0,20.0,0.0,31.0,0.0,25.0,0.0,9.0,0.0
Singapore,27-01-2020,5,0,0,90.0,0.0,26.0,0.0,246.0,0.0,56.0,0.0,31.0,0.0,25.0,0.0,7.0,0.0
Singapore,28-01-2020,7,0,0,90.0,0.0,26.0,0.0,247.0,0.0,82.0,0.0,31.0,0.0,25.0,0.0,9.0,0.0
Singapore,29-01-2020,7,0,0,98.0,0.0,26.0,0.0,248.0,0.0,96.0,0.0,29.0,0.0,24.0,0.0,6.0,0.0
Singapore,30-01-2020,10,0,0,90.0,0.0,25.0,0.0,250.0,0.0,56.0,0.0,31.0,0.0,25.0,0.0,6.0,0.0
Singapore,31-01-2020,13,0,0,84.0,0.0,25.0,0.0,249.0,0.0,14.0,0.0,31.0,0.0,25.0,0.0,9.0,0.0
Singapore,01-02-2020,16,0,0,87.0,0.0,25.0,0.0,248.0,0.0,28.0,0.0,31.0,0.0,25.0,0.0,10.0,0.0
Singapore,02-02-2020,18,0,0,88.0,0.0,25.0,0.0,250.0,0.0,59.0,0.0,30.0,0.0,25.0,0.0,6.0,0.0
Singapore,03-02-2020,18,0,0,81.0,0.0,24.0,0.0,251.0,0.0,9.0,0.0,31.0,0.0,24.0,0.0,6.0,0.0
Singapore,04-02-2020,24,0,0,81.0,0.0,24.0,0.0,252.0,0.0,14.0,0.0,31.0,0.0,24.0,0.0,8.0,0.0
Singapore,05-02-2020,28,0,0,84.0,0.0,24.0,0.0,252.0,0.0,20.0,0.0,31.0,0.0,25.0,0.0,6.0,0.0
Singapore,06-02-2020,28,0,0,83.0,0.0,24.0,0.0,253.0,0.0,28.0,0.0,32.0,0.0,25.0,0.0,6.0,0.0
Singapore,07-02-2020,30,0,0,81.0,0.0,24.0,0.0,250.0,0.0,33.0,0.0,31.0,0.0,25.0,0.0,7.0,0.0
Singapore,08-02-2020,33,0,2,79.0,0.0,23.0,0.0,253.0,0.0,11.0,0.0,31.0,0.0,24.0,0.0,6.0,0.0
Singapore,09-02-2020,40,0,2,95.0,0.0,25.0,0.0,251.0,0.0,94.0,0.0,29.0,0.0,24.0,0.0,6.0,0.0
Singapore,10-02-2020,45,0,2,95.0,0.0,25.0,0.0,250.0,0.0,99.0,0.0,30.0,0.0,25.0,0.0,7.0,0.0
Singapore,11-02-2020,47,0,9,96.0,0.0,26.0,0.0,250.0,0.0,87.0,0.0,30.0,0.0,25.0,0.0,6.0,0.0
Singapore,12-02-2020,50,0,15,92.0,0.0,26.0,0.0,246.0,0.0,88.0,0.0,31.0,0.0,25.0,0.0,6.0,0.0
Singapore,13-02-2020,58,0,15,89.0,0.0,26.0,0.0,247.0,0.0,43.0,0.0,32.0,0.0,25.0,0.0,6.0,0.0
Singapore,14-02-2020,67,0,17,89.0,0.0,26.0,0.0,251.0,0.0,14.0,0.0,32.0,0.0,25.0,0.0,11.0,0.0
Singapore,15-02-2020,72,0,18,86.0,0.0,25.0,0.0,251.0,0.0,23.0,0.0,31.0,0.0,25.0,0.0,12.0,0.0
Singapore,16-02-2020,75,0,18,89.0,0.0,25.0,0.0,250.0,0.0,37.0,0.0,31.0,0.0,25.0,0.0,6.0,0.0
Singapore,17-02-2020,77,0,24,86.0,0.0,25.0,0.0,252.0,0.0,26.0,0.0,32.0,0.0,25.0,0.0,7.0,0.0
Singapore,18-02-2020,81,0,29,90.0,0.0,25.0,0.0,252.0,0.0,85.0,0.0,30.0,0.0,25.0,0.0,12.0,0.0
Singapore,19-02-2020,84,0,34,85.0,0.0,25.0,0.0,252.0,0.0,56.0,0.0,31.0,0.0,24.0,0.0,12.0,0.0
Singapore,20-02-2020,84,0,34,87.0,0.0,25.0,0.0,248.0,0.0,31.0,0.0,31.0,0.0,24.0,0.0,11.0,0.0
Singapore,21-02-2020,85,0,37,91.0,0.0,25.0,0.0,253.0,0.0,71.0,0.0,31.0,0.0,24.0,0.0,7.0,0.0
Singapore,22-02-2020,85,0,37,89.0,0.0,25.0,0.0,260.0,0.0,30.0,0.0,30.0,0.0,25.0,0.0,9.0,0.0
Singapore,23-02-2020,89,0,51,87.0,0.0,25.0,0.0,258.0,0.0,54.0,0.0,31.0,0.0,24.0,0.0,12.0,0.0
Singapore,24-02-2020,89,0,51,93.0,0.0,26.0,0.0,258.0,0.0,89.0,0.0,30.0,0.0,25.0,0.0,12.0,0.0
Singapore,25-02-2020,91,0,53,87.0,0.0,25.0,0.0,258.0,0.0,31.0,0.0,31.0,0.0,25.0,0.0,9.0,0.0
Singapore,26-02-2020,93,0,62,85.0,0.0,25.0,0.0,258.0,0.0,15.0,0.0,32.0,0.0,25.0,0.0,8.0,0.0
