# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Slovakia,22-01-2020,0,0,0,69.0,0.0,-8.0,0.0,325.0,0.0,2.0,0.0,1.0,0.0,-5.0,0.0,1.0,0.0
Slovakia,23-01-2020,0,0,0,76.0,0.0,-6.0,0.0,333.0,0.0,4.0,0.0,1.0,0.0,-6.0,0.0,1.0,0.0
Slovakia,24-01-2020,0,0,0,74.0,0.0,-7.0,0.0,306.0,0.0,2.0,0.0,0.0,0.0,-6.0,0.0,1.0,0.0
Slovakia,25-01-2020,0,0,0,75.0,0.0,-7.0,0.0,286.0,0.0,2.0,0.0,1.0,0.0,-7.0,0.0,1.0,0.0
Slovakia,26-01-2020,0,0,0,77.0,0.0,-7.0,0.0,292.0,0.0,7.0,0.0,1.0,0.0,-3.0,0.0,1.0,0.0
Slovakia,27-01-2020,0,0,0,91.0,0.0,-2.0,0.0,314.0,0.0,20.0,0.0,3.0,0.0,-4.0,0.0,1.0,0.0
Slovakia,28-01-2020,0,0,0,96.0,0.0,-3.0,0.0,344.0,0.0,52.0,0.0,-1.0,0.0,-5.0,0.0,1.0,0.0
Slovakia,29-01-2020,0,0,0,90.0,0.0,-4.0,0.0,421.0,0.0,33.0,0.0,-1.0,0.0,-4.0,0.0,1.0,0.0
Slovakia,30-01-2020,0,0,0,87.0,0.0,-4.0,0.0,375.0,0.0,28.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0
Slovakia,31-01-2020,0,0,0,96.0,0.0,0.0,0.0,301.0,0.0,64.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Slovakia,01-02-2020,0,0,0,96.0,0.0,3.0,0.0,280.0,0.0,19.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Slovakia,02-02-2020,0,0,0,91.0,0.0,1.0,0.0,323.0,0.0,90.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
Slovakia,03-02-2020,0,0,0,98.0,0.0,2.0,0.0,345.0,0.0,94.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Slovakia,04-02-2020,0,0,0,93.0,0.0,0.0,0.0,379.0,0.0,88.0,0.0,2.0,0.0,-2.0,0.0,1.0,0.0
Slovakia,05-02-2020,0,0,0,68.0,0.0,-8.0,0.0,410.0,0.0,24.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Slovakia,06-02-2020,0,0,0,70.0,0.0,-8.0,0.0,366.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0
Slovakia,07-02-2020,0,0,0,82.0,0.0,-4.0,0.0,338.0,0.0,25.0,0.0,2.0,0.0,-6.0,0.0,1.0,0.0
Slovakia,08-02-2020,0,0,0,75.0,0.0,-7.0,0.0,328.0,0.0,4.0,0.0,1.0,0.0,-6.0,0.0,2.0,0.0
Slovakia,09-02-2020,0,0,0,71.0,0.0,-7.0,0.0,329.0,0.0,2.0,0.0,1.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,10-02-2020,0,0,0,91.0,0.0,-1.0,0.0,304.0,0.0,72.0,0.0,2.0,0.0,-1.0,0.0,2.0,0.0
Slovakia,11-02-2020,0,0,0,84.0,0.0,-3.0,0.0,329.0,0.0,65.0,0.0,1.0,0.0,-4.0,0.0,1.0,0.0
Slovakia,12-02-2020,0,0,0,79.0,0.0,-6.0,0.0,377.0,0.0,25.0,0.0,0.0,0.0,-6.0,0.0,1.0,0.0
Slovakia,13-02-2020,0,0,0,81.0,0.0,-5.0,0.0,384.0,0.0,16.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0
Slovakia,14-02-2020,0,0,0,91.0,0.0,-1.0,0.0,400.0,0.0,45.0,0.0,2.0,0.0,-3.0,0.0,1.0,0.0
Slovakia,15-02-2020,0,0,0,89.0,0.0,-2.0,0.0,333.0,0.0,11.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,16-02-2020,0,0,0,91.0,0.0,-1.0,0.0,302.0,0.0,7.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Slovakia,17-02-2020,0,0,0,93.0,0.0,0.0,0.0,311.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Slovakia,18-02-2020,0,0,0,87.0,0.0,0.0,0.0,329.0,0.0,53.0,0.0,3.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,19-02-2020,0,0,0,86.0,0.0,-3.0,0.0,370.0,0.0,41.0,0.0,2.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,20-02-2020,0,0,0,78.0,0.0,-5.0,0.0,363.0,0.0,17.0,0.0,1.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,21-02-2020,0,0,0,83.0,0.0,-4.0,0.0,360.0,0.0,56.0,0.0,1.0,0.0,-5.0,0.0,2.0,0.0
Slovakia,22-02-2020,0,0,0,79.0,0.0,-4.0,0.0,349.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Slovakia,23-02-2020,0,0,0,95.0,0.0,1.0,0.0,340.0,0.0,85.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,24-02-2020,0,0,0,76.0,0.0,-3.0,0.0,356.0,0.0,66.0,0.0,2.0,0.0,-1.0,0.0,2.0,0.0
Slovakia,25-02-2020,0,0,0,84.0,0.0,0.0,0.0,339.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
Slovakia,26-02-2020,0,0,0,92.0,0.0,0.0,0.0,357.0,0.0,67.0,0.0,2.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,27-02-2020,0,0,0,74.0,0.0,-6.0,0.0,400.0,0.0,11.0,0.0,2.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,28-02-2020,0,0,0,85.0,0.0,-5.0,0.0,411.0,0.0,63.0,0.0,0.0,0.0,-6.0,0.0,1.0,0.0
Slovakia,29-02-2020,0,0,0,81.0,0.0,-5.0,0.0,359.0,0.0,10.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,01-03-2020,0,0,0,91.0,0.0,-1.0,0.0,378.0,0.0,55.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
Slovakia,02-03-2020,0,0,0,94.0,0.0,0.0,0.0,368.0,0.0,88.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0
Slovakia,03-03-2020,0,0,0,100.0,0.0,2.0,0.0,370.0,0.0,81.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
Slovakia,04-03-2020,0,0,0,95.0,0.0,-1.0,0.0,421.0,0.0,78.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0
Slovakia,05-03-2020,0,0,0,80.0,0.0,-4.0,0.0,399.0,0.0,3.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,06-03-2020,1,0,0,97.0,0.0,-1.0,0.0,332.0,0.0,64.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0
Slovakia,07-03-2020,1,0,0,87.0,0.0,-1.0,0.0,366.0,0.0,27.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,08-03-2020,3,0,0,81.0,0.0,-3.0,0.0,395.0,0.0,15.0,0.0,3.0,0.0,-2.0,0.0,3.0,0.0
Slovakia,09-03-2020,3,0,0,80.0,0.0,-3.0,0.0,395.0,0.0,19.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Slovakia,10-03-2020,7,0,0,75.0,0.0,-2.0,0.0,385.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0
Slovakia,11-03-2020,10,0,0,96.0,0.0,3.0,0.0,340.0,0.0,69.0,0.0,7.0,0.0,3.0,0.0,2.0,0.0
Slovakia,12-03-2020,16,0,0,84.0,0.0,4.0,0.0,315.0,0.0,20.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0
Slovakia,13-03-2020,32,0,0,68.0,0.0,-1.0,0.0,347.0,0.0,12.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Slovakia,14-03-2020,44,0,0,59.0,0.0,-7.0,0.0,398.0,0.0,3.0,0.0,4.0,0.0,-6.0,0.0,3.0,0.0
Slovakia,15-03-2020,54,0,0,45.0,0.0,-13.0,0.0,408.0,0.0,2.0,0.0,5.0,0.0,-4.0,0.0,3.0,0.0
Slovakia,16-03-2020,63,0,0,54.0,0.0,-8.0,0.0,380.0,0.0,0.0,0.0,6.0,0.0,-2.0,0.0,3.0,0.0
Slovakia,17-03-2020,72,0,0,60.0,0.0,-3.0,0.0,383.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,3.0,0.0
Slovakia,18-03-2020,105,1,0,69.0,0.0,0.0,0.0,355.0,0.0,2.0,0.0,12.0,0.0,2.0,0.0,3.0,0.0
Slovakia,19-03-2020,123,1,0,71.0,0.0,2.0,0.0,337.0,0.0,3.0,0.0,14.0,0.0,3.0,0.0,4.0,0.0
Slovakia,20-03-2020,137,1,0,74.0,0.0,3.0,0.0,338.0,0.0,7.0,0.0,13.0,0.0,3.0,0.0,4.0,0.0
Slovakia,21-03-2020,178,1,0,92.0,0.0,0.0,0.0,355.0,0.0,92.0,0.0,4.0,0.0,-6.0,0.0,3.0,0.0
Slovakia,22-03-2020,185,0,7,53.0,0.0,-13.0,0.0,396.0,0.0,9.0,0.0,-1.0,0.0,-7.0,0.0,3.0,0.0
Slovakia,23-03-2020,186,0,7,56.0,0.0,-12.0,0.0,428.0,0.0,7.0,0.0,-1.0,0.0,-6.0,0.0,3.0,0.0
Slovakia,24-03-2020,204,0,7,47.0,0.0,-14.0,0.0,431.0,0.0,2.0,0.0,0.0,0.0,-7.0,0.0,3.0,0.0
