# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Somalia,22-01-2020,0,0,0,63.0,0.0,18.0,0.0,243.0,0.0,5.0,0.0,33.0,0.0,22.0,0.0,10.0,0.0
Somalia,23-01-2020,0,0,0,61.0,0.0,19.0,0.0,243.0,0.0,5.0,0.0,35.0,0.0,23.0,0.0,11.0,0.0
Somalia,24-01-2020,0,0,0,64.0,0.0,21.0,0.0,244.0,0.0,7.0,0.0,35.0,0.0,24.0,0.0,6.0,0.0
Somalia,25-01-2020,0,0,0,63.0,0.0,20.0,0.0,242.0,0.0,8.0,0.0,35.0,0.0,23.0,0.0,7.0,0.0
Somalia,26-01-2020,0,0,0,62.0,0.0,19.0,0.0,244.0,0.0,8.0,0.0,34.0,0.0,22.0,0.0,11.0,0.0
Somalia,27-01-2020,0,0,0,59.0,0.0,18.0,0.0,244.0,0.0,12.0,0.0,34.0,0.0,22.0,0.0,10.0,0.0
Somalia,28-01-2020,0,0,0,56.0,0.0,16.0,0.0,245.0,0.0,2.0,0.0,33.0,0.0,20.0,0.0,9.0,0.0
Somalia,29-01-2020,0,0,0,53.0,0.0,15.0,0.0,247.0,0.0,8.0,0.0,33.0,0.0,18.0,0.0,12.0,0.0
Somalia,30-01-2020,0,0,0,51.0,0.0,12.0,0.0,246.0,0.0,5.0,0.0,33.0,0.0,19.0,0.0,6.0,0.0
Somalia,31-01-2020,0,0,0,52.0,0.0,13.0,0.0,248.0,0.0,6.0,0.0,33.0,0.0,18.0,0.0,6.0,0.0
Somalia,01-02-2020,0,0,0,55.0,0.0,14.0,0.0,248.0,0.0,7.0,0.0,33.0,0.0,19.0,0.0,7.0,0.0
Somalia,02-02-2020,0,0,0,59.0,0.0,16.0,0.0,245.0,0.0,4.0,0.0,33.0,0.0,19.0,0.0,8.0,0.0
Somalia,03-02-2020,0,0,0,54.0,0.0,14.0,0.0,244.0,0.0,3.0,0.0,33.0,0.0,18.0,0.0,9.0,0.0
Somalia,04-02-2020,0,0,0,55.0,0.0,14.0,0.0,246.0,0.0,8.0,0.0,34.0,0.0,18.0,0.0,12.0,0.0
Somalia,05-02-2020,0,0,0,53.0,0.0,14.0,0.0,247.0,0.0,4.0,0.0,34.0,0.0,19.0,0.0,6.0,0.0
Somalia,06-02-2020,0,0,0,45.0,0.0,11.0,0.0,246.0,0.0,3.0,0.0,35.0,0.0,18.0,0.0,7.0,0.0
Somalia,07-02-2020,0,0,0,49.0,0.0,11.0,0.0,245.0,0.0,2.0,0.0,35.0,0.0,18.0,0.0,9.0,0.0
Somalia,08-02-2020,0,0,0,52.0,0.0,12.0,0.0,248.0,0.0,2.0,0.0,34.0,0.0,17.0,0.0,6.0,0.0
Somalia,09-02-2020,0,0,0,54.0,0.0,13.0,0.0,253.0,0.0,6.0,0.0,34.0,0.0,18.0,0.0,6.0,0.0
Somalia,10-02-2020,0,0,0,61.0,0.0,16.0,0.0,251.0,0.0,6.0,0.0,34.0,0.0,19.0,0.0,13.0,0.0
Somalia,11-02-2020,0,0,0,62.0,0.0,17.0,0.0,248.0,0.0,4.0,0.0,35.0,0.0,19.0,0.0,12.0,0.0
Somalia,12-02-2020,0,0,0,56.0,0.0,15.0,0.0,248.0,0.0,5.0,0.0,36.0,0.0,19.0,0.0,13.0,0.0
Somalia,13-02-2020,0,0,0,51.0,0.0,15.0,0.0,249.0,0.0,6.0,0.0,35.0,0.0,22.0,0.0,13.0,0.0
Somalia,14-02-2020,0,0,0,56.0,0.0,17.0,0.0,248.0,0.0,7.0,0.0,33.0,0.0,21.0,0.0,7.0,0.0
