# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
South Africa,22-01-2020,0,0,0,37.0,0.0,1.0,0.0,272.0,0.0,1.0,0.0,33.0,0.0,14.0,0.0,14.0,0.0
South Africa,23-01-2020,0,0,0,38.0,0.0,2.0,0.0,273.0,0.0,4.0,0.0,33.0,0.0,17.0,0.0,13.0,0.0
South Africa,24-01-2020,0,0,0,32.0,0.0,2.0,0.0,274.0,0.0,7.0,0.0,34.0,0.0,17.0,0.0,10.0,0.0
South Africa,25-01-2020,0,0,0,28.0,0.0,2.0,0.0,276.0,0.0,5.0,0.0,33.0,0.0,15.0,0.0,13.0,0.0
South Africa,26-01-2020,0,0,0,31.0,0.0,0.0,0.0,270.0,0.0,4.0,0.0,27.0,0.0,10.0,0.0,14.0,0.0
South Africa,27-01-2020,0,0,0,26.0,0.0,-7.0,0.0,276.0,0.0,5.0,0.0,28.0,0.0,12.0,0.0,13.0,0.0
South Africa,28-01-2020,0,0,0,11.0,0.0,-13.0,0.0,263.0,0.0,1.0,0.0,33.0,0.0,16.0,0.0,14.0,0.0
South Africa,29-01-2020,0,0,0,6.0,0.0,-15.0,0.0,268.0,0.0,3.0,0.0,36.0,0.0,19.0,0.0,12.0,0.0
South Africa,30-01-2020,0,0,0,23.0,0.0,-2.0,0.0,263.0,0.0,3.0,0.0,37.0,0.0,18.0,0.0,14.0,0.0
South Africa,31-01-2020,0,0,0,11.0,0.0,-5.0,0.0,262.0,0.0,4.0,0.0,39.0,0.0,21.0,0.0,14.0,0.0
South Africa,01-02-2020,0,0,0,28.0,0.0,6.0,0.0,262.0,0.0,11.0,0.0,36.0,0.0,20.0,0.0,13.0,0.0
South Africa,02-02-2020,0,0,0,40.0,0.0,8.0,0.0,267.0,0.0,13.0,0.0,36.0,0.0,20.0,0.0,9.0,0.0
South Africa,03-02-2020,0,0,0,28.0,0.0,5.0,0.0,272.0,0.0,4.0,0.0,37.0,0.0,22.0,0.0,13.0,0.0
South Africa,04-02-2020,0,0,0,31.0,0.0,7.0,0.0,270.0,0.0,19.0,0.0,35.0,0.0,21.0,0.0,6.0,0.0
South Africa,05-02-2020,0,0,0,36.0,0.0,8.0,0.0,266.0,0.0,18.0,0.0,35.0,0.0,20.0,0.0,13.0,0.0
