# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Spain,22-01-2020,0,0,0,74.0,0.0,3.0,0.0,420.0,0.0,51.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0
Spain,23-01-2020,0,0,0,76.0,0.0,2.0,0.0,398.0,0.0,25.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0
Spain,24-01-2020,0,0,0,79.0,0.0,3.0,0.0,351.0,0.0,83.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0
Spain,25-01-2020,0,0,0,86.0,0.0,5.0,0.0,324.0,0.0,96.0,0.0,10.0,0.0,4.0,0.0,2.0,0.0
Spain,26-01-2020,0,0,0,83.0,0.0,4.0,0.0,327.0,0.0,28.0,0.0,12.0,0.0,1.0,0.0,2.0,0.0
Spain,27-01-2020,0,0,0,78.0,0.0,3.0,0.0,322.0,0.0,18.0,0.0,13.0,0.0,9.0,0.0,2.0,0.0
Spain,28-01-2020,0,0,0,82.0,0.0,8.0,0.0,328.0,0.0,22.0,0.0,14.0,0.0,9.0,0.0,2.0,0.0
Spain,29-01-2020,0,0,0,82.0,0.0,8.0,0.0,313.0,0.0,12.0,0.0,15.0,0.0,7.0,0.0,2.0,0.0
Spain,30-01-2020,0,0,0,81.0,0.0,6.0,0.0,302.0,0.0,7.0,0.0,14.0,0.0,8.0,0.0,2.0,0.0
Spain,31-01-2020,0,0,0,84.0,0.0,9.0,0.0,300.0,0.0,10.0,0.0,16.0,0.0,11.0,0.0,2.0,0.0
Spain,01-02-2020,1,0,0,85.0,0.0,10.0,0.0,298.0,0.0,18.0,0.0,17.0,0.0,7.0,0.0,2.0,0.0
Spain,02-02-2020,1,0,0,89.0,0.0,9.0,0.0,287.0,0.0,12.0,0.0,16.0,0.0,5.0,0.0,3.0,0.0
Spain,03-02-2020,1,0,0,83.0,0.0,7.0,0.0,283.0,0.0,5.0,0.0,17.0,0.0,4.0,0.0,3.0,0.0
Spain,04-02-2020,1,0,0,76.0,0.0,5.0,0.0,282.0,0.0,6.0,0.0,19.0,0.0,3.0,0.0,3.0,0.0
Spain,05-02-2020,1,0,0,57.0,0.0,0.0,0.0,293.0,0.0,3.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0
Spain,06-02-2020,1,0,0,79.0,0.0,3.0,0.0,314.0,0.0,2.0,0.0,14.0,0.0,4.0,0.0,3.0,0.0
Spain,07-02-2020,1,0,0,78.0,0.0,4.0,0.0,317.0,0.0,6.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0
Spain,08-02-2020,1,0,0,84.0,0.0,5.0,0.0,322.0,0.0,12.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0
Spain,09-02-2020,2,0,0,83.0,0.0,4.0,0.0,304.0,0.0,8.0,0.0,14.0,0.0,5.0,0.0,3.0,0.0
Spain,10-02-2020,2,0,0,85.0,0.0,7.0,0.0,248.0,0.0,9.0,0.0,17.0,0.0,5.0,0.0,4.0,0.0
Spain,11-02-2020,2,0,0,85.0,0.0,7.0,0.0,254.0,0.0,5.0,0.0,17.0,0.0,7.0,0.0,3.0,0.0
Spain,12-02-2020,2,0,0,84.0,0.0,8.0,0.0,274.0,0.0,8.0,0.0,15.0,0.0,5.0,0.0,3.0,0.0
Spain,13-02-2020,2,0,0,82.0,0.0,7.0,0.0,309.0,0.0,8.0,0.0,16.0,0.0,3.0,0.0,3.0,0.0
Spain,14-02-2020,2,0,0,81.0,0.0,5.0,0.0,298.0,0.0,6.0,0.0,15.0,0.0,2.0,0.0,4.0,0.0
Spain,15-02-2020,2,0,2,77.0,0.0,4.0,0.0,299.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,4.0,0.0
Spain,16-02-2020,2,0,2,79.0,0.0,5.0,0.0,282.0,0.0,4.0,0.0,18.0,0.0,4.0,0.0,4.0,0.0
Spain,17-02-2020,2,0,2,84.0,0.0,7.0,0.0,299.0,0.0,9.0,0.0,15.0,0.0,5.0,0.0,3.0,0.0
Spain,18-02-2020,2,0,2,70.0,0.0,4.0,0.0,327.0,0.0,9.0,0.0,15.0,0.0,2.0,0.0,3.0,0.0
Spain,19-02-2020,2,0,2,62.0,0.0,1.0,0.0,314.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0
Spain,20-02-2020,2,0,2,59.0,0.0,0.0,0.0,305.0,0.0,3.0,0.0,17.0,0.0,1.0,0.0,4.0,0.0
Spain,21-02-2020,2,0,2,46.0,0.0,-3.0,0.0,306.0,0.0,3.0,0.0,20.0,0.0,1.0,0.0,4.0,0.0
Spain,22-02-2020,2,0,2,40.0,0.0,-4.0,0.0,303.0,0.0,1.0,0.0,21.0,0.0,2.0,0.0,4.0,0.0
Spain,23-02-2020,2,0,2,43.0,0.0,-2.0,0.0,292.0,0.0,1.0,0.0,22.0,0.0,2.0,0.0,4.0,0.0
Spain,24-02-2020,2,0,2,46.0,0.0,-1.0,0.0,300.0,0.0,1.0,0.0,22.0,0.0,4.0,0.0,5.0,0.0
Spain,25-02-2020,6,0,2,62.0,0.0,2.0,0.0,329.0,0.0,5.0,0.0,19.0,0.0,3.0,0.0,4.0,0.0
Spain,26-02-2020,13,0,2,61.0,0.0,1.0,0.0,316.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,4.0,0.0
Spain,27-02-2020,15,0,2,61.0,0.0,1.0,0.0,301.0,0.0,2.0,0.0,19.0,0.0,2.0,0.0,5.0,0.0
Spain,28-02-2020,32,0,2,54.0,0.0,0.0,0.0,297.0,0.0,1.0,0.0,20.0,0.0,7.0,0.0,4.0,0.0
Spain,29-02-2020,45,0,2,68.0,0.0,5.0,0.0,324.0,0.0,8.0,0.0,14.0,0.0,7.0,0.0,3.0,0.0
Spain,01-03-2020,84,0,2,75.0,0.0,7.0,0.0,321.0,0.0,64.0,0.0,15.0,0.0,11.0,0.0,3.0,0.0
