# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Sri Lanka,22-01-2020,0,0,0,100.0,0.0,20.0,0.0,238.0,0.0,74.0,0.0,23.0,0.0,19.0,0.0,6.0,0.0
Sri Lanka,23-01-2020,0,0,0,97.0,0.0,20.0,0.0,244.0,0.0,47.0,0.0,24.0,0.0,19.0,0.0,6.0,0.0
Sri Lanka,24-01-2020,0,0,0,95.0,0.0,20.0,0.0,244.0,0.0,20.0,0.0,25.0,0.0,16.0,0.0,7.0,0.0
Sri Lanka,25-01-2020,0,0,0,92.0,0.0,19.0,0.0,246.0,0.0,31.0,0.0,25.0,0.0,16.0,0.0,7.0,0.0
Sri Lanka,26-01-2020,0,0,0,88.0,0.0,18.0,0.0,246.0,0.0,20.0,0.0,26.0,0.0,15.0,0.0,6.0,0.0
Sri Lanka,27-01-2020,1,0,0,78.0,0.0,15.0,0.0,248.0,0.0,9.0,0.0,26.0,0.0,14.0,0.0,6.0,0.0
Sri Lanka,28-01-2020,1,0,0,69.0,0.0,13.0,0.0,247.0,0.0,4.0,0.0,27.0,0.0,14.0,0.0,7.0,0.0
Sri Lanka,29-01-2020,1,0,0,72.0,0.0,14.0,0.0,244.0,0.0,9.0,0.0,28.0,0.0,14.0,0.0,8.0,0.0
Sri Lanka,30-01-2020,1,0,0,65.0,0.0,13.0,0.0,243.0,0.0,5.0,0.0,27.0,0.0,14.0,0.0,12.0,0.0
Sri Lanka,31-01-2020,1,0,0,65.0,0.0,13.0,0.0,241.0,0.0,5.0,0.0,27.0,0.0,14.0,0.0,12.0,0.0
Sri Lanka,01-02-2020,1,0,0,75.0,0.0,15.0,0.0,246.0,0.0,7.0,0.0,27.0,0.0,15.0,0.0,12.0,0.0
Sri Lanka,02-02-2020,1,0,0,83.0,0.0,17.0,0.0,243.0,0.0,19.0,0.0,27.0,0.0,16.0,0.0,12.0,0.0
Sri Lanka,03-02-2020,1,0,0,92.0,0.0,18.0,0.0,247.0,0.0,37.0,0.0,25.0,0.0,16.0,0.0,6.0,0.0
Sri Lanka,04-02-2020,1,0,0,90.0,0.0,19.0,0.0,243.0,0.0,28.0,0.0,26.0,0.0,18.0,0.0,9.0,0.0
Sri Lanka,05-02-2020,1,0,0,95.0,0.0,19.0,0.0,245.0,0.0,59.0,0.0,25.0,0.0,17.0,0.0,6.0,0.0
Sri Lanka,06-02-2020,1,0,0,88.0,0.0,19.0,0.0,246.0,0.0,34.0,0.0,26.0,0.0,16.0,0.0,6.0,0.0
Sri Lanka,07-02-2020,1,0,0,85.0,0.0,17.0,0.0,249.0,0.0,18.0,0.0,25.0,0.0,14.0,0.0,7.0,0.0
Sri Lanka,08-02-2020,1,0,1,78.0,0.0,16.0,0.0,247.0,0.0,4.0,0.0,28.0,0.0,14.0,0.0,9.0,0.0
Sri Lanka,09-02-2020,1,0,1,77.0,0.0,15.0,0.0,242.0,0.0,8.0,0.0,27.0,0.0,13.0,0.0,11.0,0.0
Sri Lanka,10-02-2020,1,0,1,81.0,0.0,15.0,0.0,242.0,0.0,15.0,0.0,25.0,0.0,16.0,0.0,11.0,0.0
Sri Lanka,11-02-2020,1,0,1,90.0,0.0,18.0,0.0,243.0,0.0,38.0,0.0,26.0,0.0,19.0,0.0,7.0,0.0
Sri Lanka,12-02-2020,1,0,1,99.0,0.0,20.0,0.0,244.0,0.0,75.0,0.0,24.0,0.0,19.0,0.0,6.0,0.0
Sri Lanka,13-02-2020,1,0,1,99.0,0.0,20.0,0.0,245.0,0.0,71.0,0.0,23.0,0.0,18.0,0.0,7.0,0.0
Sri Lanka,14-02-2020,1,0,1,97.0,0.0,20.0,0.0,253.0,0.0,68.0,0.0,25.0,0.0,17.0,0.0,9.0,0.0
Sri Lanka,15-02-2020,1,0,1,90.0,0.0,20.0,0.0,254.0,0.0,30.0,0.0,28.0,0.0,16.0,0.0,12.0,0.0
Sri Lanka,16-02-2020,1,0,1,88.0,0.0,19.0,0.0,253.0,0.0,14.0,0.0,27.0,0.0,17.0,0.0,13.0,0.0
Sri Lanka,17-02-2020,1,0,1,86.0,0.0,18.0,0.0,255.0,0.0,15.0,0.0,27.0,0.0,12.0,0.0,11.0,0.0
Sri Lanka,18-02-2020,1,0,1,72.0,0.0,13.0,0.0,252.0,0.0,9.0,0.0,27.0,0.0,13.0,0.0,12.0,0.0
Sri Lanka,19-02-2020,1,0,1,76.0,0.0,15.0,0.0,254.0,0.0,6.0,0.0,27.0,0.0,16.0,0.0,12.0,0.0
Sri Lanka,20-02-2020,1,0,1,88.0,0.0,18.0,0.0,249.0,0.0,26.0,0.0,26.0,0.0,19.0,0.0,11.0,0.0
Sri Lanka,21-02-2020,1,0,1,98.0,0.0,21.0,0.0,251.0,0.0,86.0,0.0,25.0,0.0,19.0,0.0,9.0,0.0
Sri Lanka,22-02-2020,1,0,1,96.0,0.0,20.0,0.0,255.0,0.0,82.0,0.0,25.0,0.0,17.0,0.0,8.0,0.0
Sri Lanka,23-02-2020,1,0,1,100.0,0.0,20.0,0.0,259.0,0.0,65.0,0.0,23.0,0.0,18.0,0.0,6.0,0.0
Sri Lanka,24-02-2020,1,0,1,93.0,0.0,20.0,0.0,258.0,0.0,31.0,0.0,26.0,0.0,18.0,0.0,6.0,0.0
Sri Lanka,25-02-2020,1,0,1,92.0,0.0,20.0,0.0,256.0,0.0,34.0,0.0,27.0,0.0,16.0,0.0,9.0,0.0
Sri Lanka,26-02-2020,1,0,1,87.0,0.0,19.0,0.0,254.0,0.0,9.0,0.0,28.0,0.0,15.0,0.0,11.0,0.0
Sri Lanka,27-02-2020,1,0,1,82.0,0.0,17.0,0.0,255.0,0.0,7.0,0.0,27.0,0.0,15.0,0.0,7.0,0.0
Sri Lanka,28-02-2020,1,0,1,82.0,0.0,17.0,0.0,257.0,0.0,8.0,0.0,28.0,0.0,15.0,0.0,8.0,0.0
Sri Lanka,29-02-2020,1,0,1,86.0,0.0,18.0,0.0,252.0,0.0,24.0,0.0,27.0,0.0,17.0,0.0,6.0,0.0
Sri Lanka,01-03-2020,1,0,1,84.0,0.0,18.0,0.0,252.0,0.0,13.0,0.0,28.0,0.0,17.0,0.0,11.0,0.0
