# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Suriname,22-01-2020,0,0,0,85.0,0.0,22.0,0.0,238.0,0.0,52.0,0.0,30.0,0.0,21.0,0.0,6.0,0.0
Suriname,23-01-2020,0,0,0,72.0,0.0,19.0,0.0,238.0,0.0,18.0,0.0,32.0,0.0,20.0,0.0,8.0,0.0
Suriname,24-01-2020,0,0,0,68.0,0.0,18.0,0.0,241.0,0.0,3.0,0.0,33.0,0.0,20.0,0.0,9.0,0.0
Suriname,25-01-2020,0,0,0,67.0,0.0,18.0,0.0,244.0,0.0,7.0,0.0,33.0,0.0,21.0,0.0,10.0,0.0
Suriname,26-01-2020,0,0,0,79.0,0.0,22.0,0.0,244.0,0.0,25.0,0.0,32.0,0.0,22.0,0.0,7.0,0.0
Suriname,27-01-2020,0,0,0,88.0,0.0,23.0,0.0,242.0,0.0,87.0,0.0,30.0,0.0,22.0,0.0,8.0,0.0
Suriname,28-01-2020,0,0,0,89.0,0.0,23.0,0.0,240.0,0.0,84.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Suriname,29-01-2020,0,0,0,89.0,0.0,22.0,0.0,239.0,0.0,44.0,0.0,29.0,0.0,22.0,0.0,7.0,0.0
Suriname,30-01-2020,0,0,0,83.0,0.0,22.0,0.0,240.0,0.0,60.0,0.0,32.0,0.0,22.0,0.0,10.0,0.0
Suriname,31-01-2020,0,0,0,84.0,0.0,22.0,0.0,242.0,0.0,62.0,0.0,32.0,0.0,22.0,0.0,6.0,0.0
Suriname,01-02-2020,0,0,0,96.0,0.0,24.0,0.0,245.0,0.0,95.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Suriname,02-02-2020,0,0,0,76.0,0.0,20.0,0.0,247.0,0.0,24.0,0.0,32.0,0.0,21.0,0.0,7.0,0.0
Suriname,03-02-2020,0,0,0,66.0,0.0,18.0,0.0,249.0,0.0,15.0,0.0,32.0,0.0,21.0,0.0,11.0,0.0
Suriname,04-02-2020,0,0,0,76.0,0.0,20.0,0.0,251.0,0.0,28.0,0.0,31.0,0.0,22.0,0.0,6.0,0.0
Suriname,05-02-2020,0,0,0,85.0,0.0,22.0,0.0,250.0,0.0,43.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Suriname,06-02-2020,0,0,0,85.0,0.0,21.0,0.0,251.0,0.0,35.0,0.0,28.0,0.0,19.0,0.0,6.0,0.0
Suriname,07-02-2020,0,0,0,76.0,0.0,19.0,0.0,252.0,0.0,26.0,0.0,30.0,0.0,19.0,0.0,9.0,0.0
Suriname,08-02-2020,0,0,0,69.0,0.0,19.0,0.0,253.0,0.0,7.0,0.0,31.0,0.0,20.0,0.0,6.0,0.0
Suriname,09-02-2020,0,0,0,67.0,0.0,18.0,0.0,251.0,0.0,15.0,0.0,33.0,0.0,20.0,0.0,11.0,0.0
Suriname,10-02-2020,0,0,0,72.0,0.0,19.0,0.0,249.0,0.0,33.0,0.0,31.0,0.0,20.0,0.0,7.0,0.0
Suriname,11-02-2020,0,0,0,70.0,0.0,20.0,0.0,251.0,0.0,28.0,0.0,33.0,0.0,21.0,0.0,7.0,0.0
Suriname,12-02-2020,0,0,0,97.0,0.0,23.0,0.0,251.0,0.0,99.0,0.0,28.0,0.0,21.0,0.0,8.0,0.0
Suriname,13-02-2020,0,0,0,84.0,0.0,21.0,0.0,251.0,0.0,92.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Suriname,14-02-2020,0,0,0,86.0,0.0,22.0,0.0,251.0,0.0,43.0,0.0,30.0,0.0,21.0,0.0,6.0,0.0
Suriname,15-02-2020,0,0,0,80.0,0.0,21.0,0.0,251.0,0.0,31.0,0.0,30.0,0.0,20.0,0.0,6.0,0.0
Suriname,16-02-2020,0,0,0,72.0,0.0,20.0,0.0,250.0,0.0,21.0,0.0,32.0,0.0,21.0,0.0,8.0,0.0
Suriname,17-02-2020,0,0,0,90.0,0.0,23.0,0.0,250.0,0.0,72.0,0.0,30.0,0.0,21.0,0.0,7.0,0.0
Suriname,18-02-2020,0,0,0,80.0,0.0,21.0,0.0,250.0,0.0,53.0,0.0,31.0,0.0,21.0,0.0,9.0,0.0
Suriname,19-02-2020,0,0,0,78.0,0.0,21.0,0.0,253.0,0.0,26.0,0.0,31.0,0.0,21.0,0.0,6.0,0.0
