# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Syria,22-01-2020,0,0,0,63.0,0.0,0.0,0.0,375.0,0.0,30.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Syria,23-01-2020,0,0,0,66.0,0.0,0.0,0.0,354.0,0.0,22.0,0.0,12.0,0.0,3.0,0.0,3.0,0.0
Syria,24-01-2020,0,0,0,72.0,0.0,0.0,0.0,361.0,0.0,84.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Syria,25-01-2020,0,0,0,63.0,0.0,-2.0,0.0,329.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0
Syria,26-01-2020,0,0,0,66.0,0.0,0.0,0.0,293.0,0.0,3.0,0.0,13.0,0.0,1.0,0.0,4.0,0.0
Syria,27-01-2020,0,0,0,75.0,0.0,2.0,0.0,283.0,0.0,4.0,0.0,13.0,0.0,3.0,0.0,4.0,0.0
Syria,28-01-2020,0,0,0,73.0,0.0,3.0,0.0,322.0,0.0,2.0,0.0,13.0,0.0,4.0,0.0,3.0,0.0
Syria,29-01-2020,0,0,0,73.0,0.0,3.0,0.0,369.0,0.0,12.0,0.0,14.0,0.0,5.0,0.0,3.0,0.0
Syria,30-01-2020,0,0,0,73.0,0.0,4.0,0.0,365.0,0.0,10.0,0.0,15.0,0.0,7.0,0.0,3.0,0.0
Syria,31-01-2020,0,0,0,68.0,0.0,2.0,0.0,374.0,0.0,26.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Syria,01-02-2020,0,0,0,53.0,0.0,-1.0,0.0,349.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Syria,02-02-2020,0,0,0,59.0,0.0,-1.0,0.0,317.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,4.0,0.0
Syria,03-02-2020,0,0,0,63.0,0.0,0.0,0.0,301.0,0.0,5.0,0.0,13.0,0.0,4.0,0.0,3.0,0.0
Syria,04-02-2020,0,0,0,65.0,0.0,2.0,0.0,324.0,0.0,6.0,0.0,14.0,0.0,4.0,0.0,3.0,0.0
Syria,05-02-2020,0,0,0,66.0,0.0,3.0,0.0,306.0,0.0,4.0,0.0,15.0,0.0,4.0,0.0,4.0,0.0
Syria,06-02-2020,0,0,0,61.0,0.0,3.0,0.0,294.0,0.0,3.0,0.0,19.0,0.0,6.0,0.0,4.0,0.0
Syria,07-02-2020,0,0,0,70.0,0.0,4.0,0.0,307.0,0.0,77.0,0.0,14.0,0.0,5.0,0.0,4.0,0.0
Syria,08-02-2020,0,0,0,66.0,0.0,1.0,0.0,356.0,0.0,41.0,0.0,11.0,0.0,-1.0,0.0,3.0,0.0
Syria,09-02-2020,0,0,0,35.0,0.0,-13.0,0.0,359.0,0.0,3.0,0.0,3.0,0.0,-5.0,0.0,4.0,0.0
Syria,10-02-2020,0,0,0,35.0,0.0,-15.0,0.0,365.0,0.0,10.0,0.0,3.0,0.0,-6.0,0.0,3.0,0.0
Syria,11-02-2020,0,0,0,32.0,0.0,-16.0,0.0,361.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
Syria,12-02-2020,0,0,0,63.0,0.0,-2.0,0.0,327.0,0.0,44.0,0.0,8.0,0.0,1.0,0.0,3.0,0.0
Syria,13-02-2020,0,0,0,80.0,0.0,1.0,0.0,319.0,0.0,37.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0
Syria,14-02-2020,0,0,0,65.0,0.0,-1.0,0.0,307.0,0.0,9.0,0.0,9.0,0.0,2.0,0.0,4.0,0.0
Syria,15-02-2020,0,0,0,53.0,0.0,-3.0,0.0,326.0,0.0,6.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0
Syria,16-02-2020,0,0,0,71.0,0.0,1.0,0.0,368.0,0.0,73.0,0.0,11.0,0.0,5.0,0.0,4.0,0.0
Syria,17-02-2020,0,0,0,87.0,0.0,5.0,0.0,375.0,0.0,45.0,0.0,11.0,0.0,2.0,0.0,3.0,0.0
Syria,18-02-2020,0,0,0,85.0,0.0,5.0,0.0,338.0,0.0,14.0,0.0,12.0,0.0,7.0,0.0,4.0,0.0
Syria,19-02-2020,0,0,0,91.0,0.0,8.0,0.0,358.0,0.0,81.0,0.0,11.0,0.0,8.0,0.0,3.0,0.0
Syria,20-02-2020,0,0,0,67.0,0.0,5.0,0.0,324.0,0.0,4.0,0.0,17.0,0.0,6.0,0.0,5.0,0.0
Syria,21-02-2020,0,0,0,68.0,0.0,4.0,0.0,336.0,0.0,22.0,0.0,15.0,0.0,7.0,0.0,3.0,0.0
Syria,22-02-2020,0,0,0,75.0,0.0,6.0,0.0,350.0,0.0,50.0,0.0,14.0,0.0,5.0,0.0,5.0,0.0
Syria,23-02-2020,0,0,0,76.0,0.0,5.0,0.0,329.0,0.0,9.0,0.0,15.0,0.0,7.0,0.0,5.0,0.0
Syria,24-02-2020,0,0,0,74.0,0.0,6.0,0.0,315.0,0.0,5.0,0.0,15.0,0.0,6.0,0.0,3.0,0.0
Syria,25-02-2020,0,0,0,61.0,0.0,4.0,0.0,335.0,0.0,5.0,0.0,18.0,0.0,7.0,0.0,5.0,0.0
Syria,26-02-2020,0,0,0,51.0,0.0,2.0,0.0,310.0,0.0,1.0,0.0,19.0,0.0,6.0,0.0,6.0,0.0
Syria,27-02-2020,0,0,0,61.0,0.0,4.0,0.0,292.0,0.0,2.0,0.0,20.0,0.0,9.0,0.0,6.0,0.0
