# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Taiwan,22-01-2020,0,0,0,44.0,0.0,1.0,0.0,237.0,0.0,3.0,0.0,22.0,0.0,11.0,0.0,6.0,0.0
Taiwan,23-01-2020,0,0,0,61.0,0.0,7.0,0.0,240.0,0.0,9.0,0.0,22.0,0.0,9.0,0.0,7.0,0.0
Taiwan,24-01-2020,0,0,0,63.0,0.0,7.0,0.0,245.0,0.0,7.0,0.0,22.0,0.0,12.0,0.0,7.0,0.0
Taiwan,25-01-2020,0,0,0,70.0,0.0,9.0,0.0,245.0,0.0,22.0,0.0,20.0,0.0,12.0,0.0,6.0,0.0
Taiwan,26-01-2020,0,0,0,86.0,0.0,11.0,0.0,244.0,0.0,79.0,0.0,17.0,0.0,8.0,0.0,5.0,0.0
Taiwan,27-01-2020,0,0,0,62.0,0.0,4.0,0.0,252.0,0.0,36.0,0.0,16.0,0.0,7.0,0.0,8.0,0.0
Taiwan,28-01-2020,0,0,0,84.0,0.0,6.0,0.0,246.0,0.0,81.0,0.0,11.0,0.0,5.0,0.0,5.0,0.0
Taiwan,29-01-2020,0,0,0,76.0,0.0,4.0,0.0,237.0,0.0,20.0,0.0,14.0,0.0,4.0,0.0,8.0,0.0
Taiwan,30-01-2020,0,0,0,56.0,0.0,-2.0,0.0,237.0,0.0,22.0,0.0,13.0,0.0,1.0,0.0,8.0,0.0
Taiwan,31-01-2020,0,0,0,25.0,0.0,-14.0,0.0,238.0,0.0,5.0,0.0,14.0,0.0,1.0,0.0,8.0,0.0
Taiwan,01-02-2020,0,0,0,38.0,0.0,-7.0,0.0,234.0,0.0,6.0,0.0,14.0,0.0,3.0,0.0,9.0,0.0
Taiwan,02-02-2020,0,0,0,56.0,0.0,0.0,0.0,238.0,0.0,5.0,0.0,15.0,0.0,5.0,0.0,9.0,0.0
Taiwan,03-02-2020,0,0,0,64.0,0.0,3.0,0.0,242.0,0.0,14.0,0.0,17.0,0.0,6.0,0.0,8.0,0.0
Taiwan,04-02-2020,0,0,0,72.0,0.0,5.0,0.0,238.0,0.0,31.0,0.0,14.0,0.0,7.0,0.0,6.0,0.0
Taiwan,05-02-2020,0,0,0,73.0,0.0,6.0,0.0,243.0,0.0,33.0,0.0,18.0,0.0,7.0,0.0,8.0,0.0
Taiwan,06-02-2020,0,0,0,66.0,0.0,5.0,0.0,254.0,0.0,14.0,0.0,19.0,0.0,9.0,0.0,8.0,0.0
Taiwan,07-02-2020,0,0,0,66.0,0.0,6.0,0.0,254.0,0.0,9.0,0.0,19.0,0.0,9.0,0.0,8.0,0.0
Taiwan,08-02-2020,0,0,0,62.0,0.0,5.0,0.0,242.0,0.0,6.0,0.0,19.0,0.0,6.0,0.0,9.0,0.0
Taiwan,09-02-2020,0,0,0,69.0,0.0,5.0,0.0,246.0,0.0,8.0,0.0,17.0,0.0,6.0,0.0,9.0,0.0
Taiwan,10-02-2020,0,0,0,74.0,0.0,6.0,0.0,254.0,0.0,12.0,0.0,18.0,0.0,8.0,0.0,6.0,0.0
Taiwan,11-02-2020,0,0,0,73.0,0.0,7.0,0.0,250.0,0.0,12.0,0.0,17.0,0.0,10.0,0.0,5.0,0.0
Taiwan,12-02-2020,0,0,0,68.0,0.0,8.0,0.0,243.0,0.0,17.0,0.0,21.0,0.0,10.0,0.0,9.0,0.0
Taiwan,13-02-2020,0,0,0,57.0,0.0,6.0,0.0,242.0,0.0,39.0,0.0,22.0,0.0,11.0,0.0,6.0,0.0
Taiwan,14-02-2020,0,0,0,71.0,0.0,10.0,0.0,247.0,0.0,39.0,0.0,23.0,0.0,12.0,0.0,7.0,0.0
Taiwan,15-02-2020,0,0,0,64.0,0.0,9.0,0.0,245.0,0.0,18.0,0.0,23.0,0.0,11.0,0.0,9.0,0.0
Taiwan,16-02-2020,0,0,0,69.0,0.0,9.0,0.0,245.0,0.0,25.0,0.0,19.0,0.0,10.0,0.0,9.0,0.0
Taiwan,17-02-2020,0,0,0,85.0,0.0,8.0,0.0,249.0,0.0,49.0,0.0,15.0,0.0,6.0,0.0,8.0,0.0
Taiwan,18-02-2020,0,0,0,75.0,0.0,4.0,0.0,251.0,0.0,25.0,0.0,14.0,0.0,4.0,0.0,9.0,0.0
Taiwan,19-02-2020,0,0,0,61.0,0.0,2.0,0.0,252.0,0.0,2.0,0.0,16.0,0.0,6.0,0.0,10.0,0.0
Taiwan,20-02-2020,0,0,0,56.0,0.0,2.0,0.0,251.0,0.0,8.0,0.0,18.0,0.0,7.0,0.0,10.0,0.0
Taiwan,21-02-2020,0,0,0,59.0,0.0,4.0,0.0,248.0,0.0,7.0,0.0,19.0,0.0,8.0,0.0,10.0,0.0
Taiwan,22-02-2020,0,0,0,53.0,0.0,3.0,0.0,249.0,0.0,7.0,0.0,20.0,0.0,10.0,0.0,10.0,0.0
Taiwan,23-02-2020,0,0,0,70.0,0.0,9.0,0.0,251.0,0.0,18.0,0.0,21.0,0.0,10.0,0.0,10.0,0.0
Taiwan,24-02-2020,0,0,0,63.0,0.0,7.0,0.0,252.0,0.0,4.0,0.0,22.0,0.0,11.0,0.0,10.0,0.0
Taiwan,25-02-2020,0,0,0,69.0,0.0,9.0,0.0,253.0,0.0,8.0,0.0,22.0,0.0,11.0,0.0,9.0,0.0
