# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Trinidad and Tobago,22-01-2020,0,0,0,86.0,0.0,21.0,0.0,243.0,0.0,18.0,0.0,28.0,0.0,20.0,0.0,7.0,0.0
Trinidad and Tobago,23-01-2020,0,0,0,84.0,0.0,20.0,0.0,242.0,0.0,5.0,0.0,28.0,0.0,20.0,0.0,7.0,0.0
Trinidad and Tobago,24-01-2020,0,0,0,83.0,0.0,20.0,0.0,243.0,0.0,4.0,0.0,29.0,0.0,20.0,0.0,9.0,0.0
Trinidad and Tobago,25-01-2020,0,0,0,93.0,0.0,22.0,0.0,242.0,0.0,61.0,0.0,27.0,0.0,21.0,0.0,7.0,0.0
Trinidad and Tobago,26-01-2020,0,0,0,88.0,0.0,22.0,0.0,246.0,0.0,28.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Trinidad and Tobago,27-01-2020,0,0,0,86.0,0.0,21.0,0.0,249.0,0.0,18.0,0.0,28.0,0.0,20.0,0.0,8.0,0.0
Trinidad and Tobago,28-01-2020,0,0,0,84.0,0.0,21.0,0.0,247.0,0.0,10.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Trinidad and Tobago,29-01-2020,0,0,0,90.0,0.0,22.0,0.0,244.0,0.0,38.0,0.0,29.0,0.0,22.0,0.0,11.0,0.0
Trinidad and Tobago,30-01-2020,0,0,0,90.0,0.0,23.0,0.0,243.0,0.0,50.0,0.0,28.0,0.0,22.0,0.0,11.0,0.0
Trinidad and Tobago,31-01-2020,0,0,0,89.0,0.0,23.0,0.0,244.0,0.0,21.0,0.0,28.0,0.0,22.0,0.0,11.0,0.0
Trinidad and Tobago,01-02-2020,0,0,0,89.0,0.0,23.0,0.0,246.0,0.0,23.0,0.0,29.0,0.0,22.0,0.0,10.0,0.0
Trinidad and Tobago,02-02-2020,0,0,0,88.0,0.0,22.0,0.0,246.0,0.0,31.0,0.0,29.0,0.0,22.0,0.0,10.0,0.0
Trinidad and Tobago,03-02-2020,0,0,0,82.0,0.0,21.0,0.0,242.0,0.0,17.0,0.0,29.0,0.0,21.0,0.0,11.0,0.0
Trinidad and Tobago,04-02-2020,0,0,0,83.0,0.0,21.0,0.0,242.0,0.0,6.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Trinidad and Tobago,05-02-2020,0,0,0,84.0,0.0,21.0,0.0,244.0,0.0,20.0,0.0,27.0,0.0,21.0,0.0,8.0,0.0
Trinidad and Tobago,06-02-2020,0,0,0,83.0,0.0,21.0,0.0,248.0,0.0,22.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
