# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Tunisia,22-01-2020,0,0,0,56.0,0.0,5.0,0.0,294.0,0.0,3.0,0.0,19.0,0.0,11.0,0.0,4.0,0.0
Tunisia,23-01-2020,0,0,0,56.0,0.0,4.0,0.0,295.0,0.0,4.0,0.0,21.0,0.0,10.0,0.0,3.0,0.0
Tunisia,24-01-2020,0,0,0,57.0,0.0,6.0,0.0,283.0,0.0,6.0,0.0,22.0,0.0,8.0,0.0,4.0,0.0
Tunisia,25-01-2020,0,0,0,45.0,0.0,1.0,0.0,277.0,0.0,3.0,0.0,22.0,0.0,9.0,0.0,3.0,0.0
Tunisia,26-01-2020,0,0,0,44.0,0.0,2.0,0.0,288.0,0.0,11.0,0.0,23.0,0.0,9.0,0.0,3.0,0.0
Tunisia,27-01-2020,0,0,0,57.0,0.0,5.0,0.0,318.0,0.0,6.0,0.0,21.0,0.0,7.0,0.0,3.0,0.0
Tunisia,28-01-2020,0,0,0,60.0,0.0,5.0,0.0,326.0,0.0,1.0,0.0,21.0,0.0,7.0,0.0,4.0,0.0
Tunisia,29-01-2020,0,0,0,50.0,0.0,2.0,0.0,330.0,0.0,7.0,0.0,22.0,0.0,8.0,0.0,3.0,0.0
Tunisia,30-01-2020,0,0,0,40.0,0.0,0.0,0.0,318.0,0.0,7.0,0.0,22.0,0.0,10.0,0.0,4.0,0.0
Tunisia,31-01-2020,0,0,0,41.0,0.0,1.0,0.0,313.0,0.0,6.0,0.0,23.0,0.0,8.0,0.0,4.0,0.0
Tunisia,01-02-2020,0,0,0,46.0,0.0,3.0,0.0,309.0,0.0,5.0,0.0,23.0,0.0,10.0,0.0,4.0,0.0
Tunisia,02-02-2020,0,0,0,55.0,0.0,7.0,0.0,298.0,0.0,3.0,0.0,23.0,0.0,10.0,0.0,4.0,0.0
Tunisia,03-02-2020,0,0,0,53.0,0.0,6.0,0.0,287.0,0.0,4.0,0.0,25.0,0.0,11.0,0.0,4.0,0.0
Tunisia,04-02-2020,0,0,0,42.0,0.0,4.0,0.0,282.0,0.0,5.0,0.0,26.0,0.0,12.0,0.0,5.0,0.0
Tunisia,05-02-2020,0,0,0,40.0,0.0,1.0,0.0,288.0,0.0,6.0,0.0,19.0,0.0,8.0,0.0,4.0,0.0
Tunisia,06-02-2020,0,0,0,42.0,0.0,0.0,0.0,308.0,0.0,3.0,0.0,19.0,0.0,4.0,0.0,4.0,0.0
Tunisia,07-02-2020,0,0,0,42.0,0.0,-2.0,0.0,318.0,0.0,3.0,0.0,18.0,0.0,5.0,0.0,4.0,0.0
Tunisia,08-02-2020,0,0,0,33.0,0.0,-4.0,0.0,314.0,0.0,2.0,0.0,20.0,0.0,7.0,0.0,3.0,0.0
Tunisia,09-02-2020,0,0,0,28.0,0.0,-5.0,0.0,318.0,0.0,4.0,0.0,22.0,0.0,6.0,0.0,4.0,0.0
Tunisia,10-02-2020,0,0,0,30.0,0.0,-5.0,0.0,319.0,0.0,3.0,0.0,24.0,0.0,8.0,0.0,4.0,0.0
Tunisia,11-02-2020,0,0,0,23.0,0.0,-7.0,0.0,316.0,0.0,2.0,0.0,24.0,0.0,8.0,0.0,4.0,0.0
Tunisia,12-02-2020,0,0,0,15.0,0.0,-12.0,0.0,306.0,0.0,1.0,0.0,23.0,0.0,11.0,0.0,3.0,0.0
