# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Ukraine,22-01-2020,0,0,0,69.0,0.0,-3.0,0.0,361.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Ukraine,23-01-2020,0,0,0,63.0,0.0,-5.0,0.0,399.0,0.0,36.0,0.0,2.0,0.0,-2.0,0.0,1.0,0.0
Ukraine,24-01-2020,0,0,0,63.0,0.0,-5.0,0.0,317.0,0.0,3.0,0.0,4.0,0.0,-2.0,0.0,1.0,0.0
Ukraine,25-01-2020,0,0,0,66.0,0.0,-4.0,0.0,305.0,0.0,4.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Ukraine,26-01-2020,0,0,0,79.0,0.0,-2.0,0.0,279.0,0.0,9.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,27-01-2020,0,0,0,81.0,0.0,-3.0,0.0,294.0,0.0,10.0,0.0,5.0,0.0,-1.0,0.0,1.0,0.0
Ukraine,28-01-2020,0,0,0,84.0,0.0,0.0,0.0,319.0,0.0,11.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Ukraine,29-01-2020,0,0,0,90.0,0.0,1.0,0.0,377.0,0.0,82.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Ukraine,30-01-2020,0,0,0,79.0,0.0,-1.0,0.0,411.0,0.0,42.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,31-01-2020,0,0,0,79.0,0.0,-2.0,0.0,368.0,0.0,54.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Ukraine,01-02-2020,0,0,0,89.0,0.0,2.0,0.0,301.0,0.0,53.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0
Ukraine,02-02-2020,0,0,0,86.0,0.0,4.0,0.0,295.0,0.0,55.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0
Ukraine,03-02-2020,0,0,0,84.0,0.0,1.0,0.0,341.0,0.0,92.0,0.0,5.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,04-02-2020,0,0,0,78.0,0.0,-1.0,0.0,384.0,0.0,56.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Ukraine,05-02-2020,0,0,0,89.0,0.0,0.0,0.0,394.0,0.0,98.0,0.0,3.0,0.0,-4.0,0.0,1.0,0.0
Ukraine,06-02-2020,0,0,0,61.0,0.0,-8.0,0.0,390.0,0.0,8.0,0.0,1.0,0.0,-6.0,0.0,1.0,0.0
Ukraine,07-02-2020,0,0,0,66.0,0.0,-9.0,0.0,401.0,0.0,26.0,0.0,-3.0,0.0,-8.0,0.0,1.0,0.0
Ukraine,08-02-2020,0,0,0,64.0,0.0,-11.0,0.0,380.0,0.0,8.0,0.0,-2.0,0.0,-9.0,0.0,1.0,0.0
Ukraine,09-02-2020,0,0,0,72.0,0.0,-9.0,0.0,345.0,0.0,4.0,0.0,0.0,0.0,-6.0,0.0,2.0,0.0
Ukraine,10-02-2020,0,0,0,76.0,0.0,-4.0,0.0,323.0,0.0,55.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0
Ukraine,11-02-2020,0,0,0,84.0,0.0,0.0,0.0,333.0,0.0,97.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0
Ukraine,12-02-2020,0,0,0,81.0,0.0,0.0,0.0,372.0,0.0,87.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Ukraine,13-02-2020,0,0,0,77.0,0.0,-2.0,0.0,425.0,0.0,54.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,14-02-2020,0,0,0,71.0,0.0,-3.0,0.0,410.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Ukraine,15-02-2020,0,0,0,77.0,0.0,0.0,0.0,400.0,0.0,14.0,0.0,7.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,16-02-2020,0,0,0,70.0,0.0,-3.0,0.0,350.0,0.0,8.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
Ukraine,17-02-2020,0,0,0,65.0,0.0,-2.0,0.0,312.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Ukraine,18-02-2020,0,0,0,79.0,0.0,1.0,0.0,329.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Ukraine,19-02-2020,0,0,0,75.0,0.0,0.0,0.0,334.0,0.0,10.0,0.0,9.0,0.0,-1.0,0.0,2.0,0.0
Ukraine,20-02-2020,0,0,0,74.0,0.0,-1.0,0.0,389.0,0.0,11.0,0.0,8.0,0.0,-3.0,0.0,1.0,0.0
Ukraine,21-02-2020,0,0,0,74.0,0.0,-3.0,0.0,377.0,0.0,16.0,0.0,6.0,0.0,-4.0,0.0,2.0,0.0
Ukraine,22-02-2020,0,0,0,68.0,0.0,-5.0,0.0,394.0,0.0,4.0,0.0,6.0,0.0,-2.0,0.0,2.0,0.0
Ukraine,23-02-2020,0,0,0,67.0,0.0,-1.0,0.0,367.0,0.0,22.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0
Ukraine,24-02-2020,0,0,0,83.0,0.0,1.0,0.0,396.0,0.0,89.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Ukraine,25-02-2020,0,0,0,70.0,0.0,-2.0,0.0,359.0,0.0,10.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Ukraine,26-02-2020,0,0,0,75.0,0.0,2.0,0.0,342.0,0.0,8.0,0.0,13.0,0.0,3.0,0.0,2.0,0.0
Ukraine,27-02-2020,0,0,0,82.0,0.0,2.0,0.0,359.0,0.0,50.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Ukraine,28-02-2020,0,0,0,69.0,0.0,-2.0,0.0,395.0,0.0,60.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
Ukraine,29-02-2020,0,0,0,64.0,0.0,-3.0,0.0,405.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
Ukraine,01-03-2020,0,0,0,65.0,0.0,-2.0,0.0,375.0,0.0,5.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Ukraine,02-03-2020,0,0,0,75.0,0.0,1.0,0.0,369.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Ukraine,03-03-2020,0,0,0,77.0,0.0,4.0,0.0,349.0,0.0,11.0,0.0,15.0,0.0,4.0,0.0,2.0,0.0
Ukraine,04-03-2020,0,0,0,73.0,0.0,5.0,0.0,341.0,0.0,4.0,0.0,18.0,0.0,5.0,0.0,3.0,0.0
Ukraine,05-03-2020,0,0,0,69.0,0.0,5.0,0.0,377.0,0.0,5.0,0.0,16.0,0.0,5.0,0.0,2.0,0.0
Ukraine,06-03-2020,0,0,0,74.0,0.0,6.0,0.0,379.0,0.0,5.0,0.0,17.0,0.0,5.0,0.0,2.0,0.0
Ukraine,07-03-2020,0,0,0,75.0,0.0,5.0,0.0,325.0,0.0,4.0,0.0,14.0,0.0,5.0,0.0,2.0,0.0
Ukraine,08-03-2020,0,0,0,88.0,0.0,6.0,0.0,343.0,0.0,39.0,0.0,12.0,0.0,7.0,0.0,2.0,0.0
Ukraine,09-03-2020,0,0,0,74.0,0.0,6.0,0.0,344.0,0.0,61.0,0.0,18.0,0.0,7.0,0.0,2.0,0.0
Ukraine,10-03-2020,0,0,0,79.0,0.0,7.0,0.0,356.0,0.0,3.0,0.0,15.0,0.0,6.0,0.0,2.0,0.0
Ukraine,11-03-2020,0,0,0,71.0,0.0,4.0,0.0,368.0,0.0,21.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
