# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
United Kingdom,22-01-2020,0,0,0,87.6,9.666436778875658,14.6,7.670723564306043,290.1,49.3972671308849,43.8,26.33552733476207,18.2,7.613146524269712,15.1,7.777531742140304,3.9,2.9137604568666937
United Kingdom,23-01-2020,0,0,0,86.9,8.653900854527974,13.9,7.687002016391045,278.6,35.361561051514684,40.5,33.02499053747026,17.7,7.668767828015136,15.1,7.687002016391045,3.9,2.4269322199023198
United Kingdom,24-01-2020,0,0,0,87.1,10.671925786848409,14.1,7.569015788066504,271.2,27.603622950620085,41.2,32.2917946234024,17.9,8.018104514160438,15.2,7.846018098373213,4.4,2.8705400188814645
United Kingdom,25-01-2020,0,0,0,87.8,9.987992791347017,14.4,7.761443164772903,265.4,25.04475993097159,47.8,29.42379989056478,18.1,7.8797208072367635,15.6,7.812809993849845,4.4,2.90516780926679
United Kingdom,26-01-2020,0,0,0,87.5,7.619055059520178,14.5,7.88986691902975,275.2,29.855652731099354,55.6,26.691571703442268,18.5,7.990619500389191,14.9,8.870738413458037,4.9,3.047950130825634
United Kingdom,27-01-2020,0,0,0,86.1,7.020683727387241,13.9,8.915716460273957,302.3,58.959392805557286,62.7,29.308872376807674,18.0,8.555699854482976,14.7,9.132907532653553,4.4,3.2
United Kingdom,28-01-2020,0,0,0,83.9,9.449338601193208,13.5,9.415412895885131,315.1,72.29861686090544,56.4,27.10793241839001,17.9,9.115371632577576,15.2,8.840814442120138,4.7,3.4655446902326914
United Kingdom,29-01-2020,0,0,0,85.7,7.5372408744845085,14.0,8.579044235810887,293.4,38.160712781603024,47.1,30.888347317394636,18.7,8.271033792700884,16.1,7.555792479945437,4.9,3.2388269481403293
United Kingdom,30-01-2020,0,0,0,84.5,8.868483523128406,14.8,7.068238818828918,281.3,23.35829617073985,32.7,23.516164653276267,19.5,7.256031973468693,16.1,7.51598296964542,4.8,3.0919249667480613
United Kingdom,31-01-2020,2,0,0,85.6,10.326664514740466,15.3,7.197916365171245,281.1,22.52309925387712,42.1,28.706967795293178,19.9,7.244998274671983,16.4,7.761443164772903,4.7,3.0016662039607267
United Kingdom,01-02-2020,2,0,0,85.0,7.937253933193773,14.8,8.219489035213806,288.3,36.66074194557442,30.1,29.773981930537943,19.3,8.246817568007675,15.7,8.79829528942965,5.1,3.2388269481403293
United Kingdom,02-02-2020,2,0,0,89.0,7.469939758793238,15.4,7.927168473042566,287.2,43.008836301392776,42.8,35.56627616155506,19.3,8.283115355951526,16.2,8.364209466530594,4.9,3.207802986469088
United Kingdom,03-02-2020,2,0,0,85.6,4.715930449020639,14.7,8.775534171775526,294.8,55.876291931372826,44.6,34.87463261455237,19.0,9.011104260855047,15.2,8.715503427800371,4.8,3.4
United Kingdom,04-02-2020,2,0,0,80.5,9.002777349240622,13.4,8.697125962063561,290.3,45.30353187114665,21.8,14.702380759591286,19.0,7.937253933193773,15.6,8.685620300243388,5.3,3.28785644455472
United Kingdom,05-02-2020,2,0,0,85.4,8.777243302996675,14.3,8.832326986700616,285.5,30.38832012467948,18.5,15.57080601638849,18.8,8.231646250902669,15.8,8.772684879784522,5.2,3.249615361854384
United Kingdom,06-02-2020,2,0,0,87.2,9.47417542586161,14.7,9.077995373429092,282.2,26.407574670915924,17.5,12.769103335786738,18.9,8.203048213926332,15.9,9.342911751697114,5.0,3.1622776601683795
United Kingdom,07-02-2020,3,0,0,86.0,5.796550698475777,15.0,9.370165420097985,281.3,25.195436094658092,28.5,14.305593311708536,19.2,8.292164976651152,16.3,8.866228059327145,5.0,3.0659419433511785
United Kingdom,08-02-2020,3,0,0,88.7,5.640035460881429,15.7,8.79829528942965,292.4,40.02049474956551,46.7,29.833035380262604,19.4,8.333066662399862,16.9,8.092589202474075,4.9,3.047950130825634
United Kingdom,09-02-2020,3,0,0,88.3,5.404627646748664,16.2,7.533923280734945,282.5,22.813373270956674,49.5,35.14043255283008,20.2,7.467261881037787,16.0,9.132360045464699,5.5,3.2634337744161432
United Kingdom,10-02-2020,8,0,0,84.6,7.6446059414465575,14.3,9.48736001214247,289.2,38.044184838158905,48.2,28.20212757931571,18.2,9.547774609824009,15.3,9.423905772024675,5.3,3.0016662039607267
United Kingdom,11-02-2020,8,0,0,83.1,8.676981041814024,13.8,9.987992791347017,300.1,54.97353908927458,42.4,29.452334372677488,18.3,9.849365461794989,15.9,9.438749917229506,5.4,3.0724582991474434
United Kingdom,12-02-2020,9,0,1,85.5,7.310950690573696,14.5,9.922197337283713,306.2,47.740548802878244,37.7,22.063771209836272,18.4,9.779570542718119,15.7,9.50841732361385,5.0,2.932575659723036
United Kingdom,13-02-2020,9,0,1,89.5,7.800640999302558,15.4,9.0575934993794,306.9,45.08758143879532,48.4,29.017925494424997,18.8,9.075241043630742,15.8,9.019977827023745,5.1,3.1128764832546763
United Kingdom,14-02-2020,9,0,1,88.7,6.8563838865687785,15.4,8.126499861564017,294.1,31.655805154821127,33.2,30.4591529757477,19.4,8.224354077980836,16.5,8.452810183601665,5.5,3.1701734968294715
United Kingdom,15-02-2020,9,0,1,90.2,6.690291473471093,16.2,7.769169839822013,297.8,41.578359756007686,50.6,32.83961022911204,19.6,7.670723564306042,16.1,8.466994744299774,5.5,3.138470965295043
United Kingdom,16-02-2020,9,0,8,87.7,6.94334213473598,15.0,8.921883209278185,314.1,64.79112593557856,64.3,33.63643857485509,18.6,8.754427451295719,15.6,8.593020423576334,5.3,3.318132004607412
United Kingdom,17-02-2020,9,0,8,85.0,8.461678320522473,14.5,9.146037393319581,313.0,63.757352517180315,47.7,26.53695536417093,18.9,8.791473141629906,15.8,8.930845424706444,5.4,3.2619012860600183
United Kingdom,18-02-2020,9,0,8,86.9,7.020683727387241,14.7,9.230926280715279,307.7,47.62992756660459,44.2,26.47187186430155,18.3,9.143850392476901,15.6,9.297311439335568,5.2,3.370459909270544
United Kingdom,19-02-2020,9,0,8,88.1,6.315853069855251,15.2,8.738420909981391,296.6,28.33090185645349,40.6,31.87851941354868,19.1,8.383913167489272,16.3,8.367197858303577,5.7,3.4073450074801634
United Kingdom,20-02-2020,9,0,8,87.4,7.116178749862878,14.8,9.097252332435328,305.7,44.28329256051315,41.6,33.782243856795546,18.8,8.761278445523804,15.9,8.904493247793498,5.3,3.132091952673165
United Kingdom,21-02-2020,9,0,8,87.3,8.695401083331348,15.3,8.173738434767778,294.1,32.2194040913236,37.9,32.9589138170541,19.1,8.227393268830657,15.7,8.198170527623832,5.8,3.487119154832538
United Kingdom,22-02-2020,9,0,8,86.0,6.0166435825965285,14.8,8.611620056644393,299.3,45.64438629229229,42.3,31.956376515493744,18.7,9.143850392476905,15.3,8.450443775329198,5.8,3.6
United Kingdom,23-02-2020,9,0,8,85.1,4.548626166217663,13.9,8.407734534343957,300.6,40.25717327384028,45.9,29.96814975936953,18.1,8.780091115700339,14.9,8.688498144098322,5.7,3.522782990761708
United Kingdom,24-02-2020,13,0,8,83.7,7.746612162745726,13.7,7.937883848986454,310.0,42.381599781037046,41.6,30.13702042339289,18.2,8.4,14.7,8.888756943465154,5.7,3.5791060336346563
United Kingdom,25-02-2020,13,0,8,82.4,12.2245654319489,13.0,9.262828941527527,319.5,58.864675315506496,36.3,28.400880268048027,17.6,9.221713506718805,14.6,9.436100889668358,5.8,3.4292856398964493
