# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Uruguay,22-01-2020,0,0,0,86.0,0.0,22.0,0.0,259.0,0.0,93.0,0.0,29.0,0.0,20.0,0.0,8.0,0.0
Uruguay,23-01-2020,0,0,0,75.0,0.0,19.0,0.0,266.0,0.0,43.0,0.0,30.0,0.0,17.0,0.0,10.0,0.0
Uruguay,24-01-2020,0,0,0,71.0,0.0,17.0,0.0,263.0,0.0,6.0,0.0,30.0,0.0,16.0,0.0,12.0,0.0
Uruguay,25-01-2020,0,0,0,67.0,0.0,16.0,0.0,270.0,0.0,7.0,0.0,30.0,0.0,18.0,0.0,10.0,0.0
Uruguay,26-01-2020,0,0,0,55.0,0.0,16.0,0.0,270.0,0.0,2.0,0.0,33.0,0.0,19.0,0.0,8.0,0.0
Uruguay,27-01-2020,0,0,0,66.0,0.0,18.0,0.0,267.0,0.0,7.0,0.0,33.0,0.0,19.0,0.0,13.0,0.0
Uruguay,28-01-2020,0,0,0,59.0,0.0,15.0,0.0,277.0,0.0,6.0,0.0,29.0,0.0,12.0,0.0,13.0,0.0
Uruguay,29-01-2020,0,0,0,62.0,0.0,13.0,0.0,279.0,0.0,4.0,0.0,30.0,0.0,19.0,0.0,12.0,0.0
Uruguay,30-01-2020,0,0,0,69.0,0.0,18.0,0.0,270.0,0.0,65.0,0.0,31.0,0.0,18.0,0.0,7.0,0.0
Uruguay,31-01-2020,0,0,0,86.0,0.0,18.0,0.0,270.0,0.0,84.0,0.0,25.0,0.0,16.0,0.0,5.0,0.0
Uruguay,01-02-2020,0,0,0,67.0,0.0,14.0,0.0,281.0,0.0,15.0,0.0,28.0,0.0,17.0,0.0,11.0,0.0
Uruguay,02-02-2020,0,0,0,68.0,0.0,16.0,0.0,274.0,0.0,5.0,0.0,31.0,0.0,18.0,0.0,12.0,0.0
Uruguay,03-02-2020,0,0,0,60.0,0.0,17.0,0.0,264.0,0.0,3.0,0.0,33.0,0.0,19.0,0.0,13.0,0.0
Uruguay,04-02-2020,0,0,0,65.0,0.0,17.0,0.0,259.0,0.0,5.0,0.0,32.0,0.0,21.0,0.0,13.0,0.0
Uruguay,05-02-2020,0,0,0,63.0,0.0,19.0,0.0,258.0,0.0,6.0,0.0,35.0,0.0,21.0,0.0,13.0,0.0
Uruguay,06-02-2020,0,0,0,64.0,0.0,20.0,0.0,257.0,0.0,17.0,0.0,35.0,0.0,22.0,0.0,13.0,0.0
Uruguay,07-02-2020,0,0,0,65.0,0.0,21.0,0.0,254.0,0.0,20.0,0.0,36.0,0.0,23.0,0.0,11.0,0.0
Uruguay,08-02-2020,0,0,0,64.0,0.0,21.0,0.0,250.0,0.0,11.0,0.0,36.0,0.0,23.0,0.0,13.0,0.0
