# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Uzbekistan,22-01-2020,0,0,0,67.0,0.0,-8.0,0.0,376.0,0.0,3.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0
Uzbekistan,23-01-2020,0,0,0,67.0,0.0,-4.0,0.0,352.0,0.0,9.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0
Uzbekistan,24-01-2020,0,0,0,80.0,0.0,2.0,0.0,361.0,0.0,84.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Uzbekistan,25-01-2020,0,0,0,83.0,0.0,-2.0,0.0,373.0,0.0,73.0,0.0,1.0,0.0,-3.0,0.0,1.0,0.0
Uzbekistan,26-01-2020,0,0,0,65.0,0.0,-7.0,0.0,346.0,0.0,6.0,0.0,2.0,0.0,-3.0,0.0,2.0,0.0
Uzbekistan,27-01-2020,0,0,0,69.0,0.0,-6.0,0.0,326.0,0.0,43.0,0.0,2.0,0.0,-6.0,0.0,2.0,0.0
Uzbekistan,28-01-2020,0,0,0,59.0,0.0,-9.0,0.0,337.0,0.0,0.0,0.0,3.0,0.0,-4.0,0.0,2.0,0.0
Uzbekistan,29-01-2020,0,0,0,56.0,0.0,-7.0,0.0,347.0,0.0,5.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Uzbekistan,30-01-2020,0,0,0,65.0,0.0,-4.0,0.0,368.0,0.0,4.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
Uzbekistan,31-01-2020,0,0,0,63.0,0.0,-3.0,0.0,403.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Uzbekistan,01-02-2020,0,0,0,56.0,0.0,-2.0,0.0,366.0,0.0,4.0,0.0,13.0,0.0,3.0,0.0,2.0,0.0
Uzbekistan,02-02-2020,0,0,0,48.0,0.0,-2.0,0.0,377.0,0.0,13.0,0.0,15.0,0.0,3.0,0.0,2.0,0.0
Uzbekistan,03-02-2020,0,0,0,84.0,0.0,1.0,0.0,351.0,0.0,91.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0
Uzbekistan,04-02-2020,0,0,0,71.0,0.0,0.0,0.0,314.0,0.0,17.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0
Uzbekistan,05-02-2020,0,0,0,57.0,0.0,0.0,0.0,331.0,0.0,5.0,0.0,13.0,0.0,-1.0,0.0,2.0,0.0
Uzbekistan,06-02-2020,0,0,0,68.0,0.0,-1.0,0.0,362.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Uzbekistan,07-02-2020,0,0,0,57.0,0.0,0.0,0.0,323.0,0.0,3.0,0.0,16.0,0.0,6.0,0.0,3.0,0.0
Uzbekistan,08-02-2020,0,0,0,32.0,0.0,-4.0,0.0,309.0,0.0,1.0,0.0,19.0,0.0,10.0,0.0,3.0,0.0
Uzbekistan,09-02-2020,0,0,0,52.0,0.0,1.0,0.0,345.0,0.0,26.0,0.0,14.0,0.0,3.0,0.0,2.0,0.0
Uzbekistan,10-02-2020,0,0,0,73.0,0.0,0.0,0.0,355.0,0.0,53.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Uzbekistan,11-02-2020,0,0,0,51.0,0.0,-9.0,0.0,343.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
Uzbekistan,12-02-2020,0,0,0,84.0,0.0,-1.0,0.0,370.0,0.0,88.0,0.0,2.0,0.0,-4.0,0.0,2.0,0.0
Uzbekistan,13-02-2020,0,0,0,66.0,0.0,-5.0,0.0,369.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
Uzbekistan,14-02-2020,0,0,0,56.0,0.0,-3.0,0.0,350.0,0.0,7.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0
Uzbekistan,15-02-2020,0,0,0,74.0,0.0,-1.0,0.0,384.0,0.0,72.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Uzbekistan,16-02-2020,0,0,0,64.0,0.0,-4.0,0.0,407.0,0.0,9.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Uzbekistan,17-02-2020,0,0,0,62.0,0.0,-4.0,0.0,408.0,0.0,6.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Uzbekistan,18-02-2020,0,0,0,61.0,0.0,-7.0,0.0,398.0,0.0,14.0,0.0,2.0,0.0,-7.0,0.0,2.0,0.0
Uzbekistan,19-02-2020,0,0,0,59.0,0.0,-8.0,0.0,348.0,0.0,3.0,0.0,4.0,0.0,-3.0,0.0,3.0,0.0
Uzbekistan,20-02-2020,0,0,0,52.0,0.0,-6.0,0.0,331.0,0.0,2.0,0.0,11.0,0.0,2.0,0.0,3.0,0.0
Uzbekistan,21-02-2020,0,0,0,65.0,0.0,0.0,0.0,314.0,0.0,32.0,0.0,11.0,0.0,2.0,0.0,3.0,0.0
Uzbekistan,22-02-2020,0,0,0,76.0,0.0,1.0,0.0,327.0,0.0,37.0,0.0,9.0,0.0,1.0,0.0,3.0,0.0
Uzbekistan,23-02-2020,0,0,0,72.0,0.0,0.0,0.0,340.0,0.0,5.0,0.0,11.0,0.0,1.0,0.0,3.0,0.0
Uzbekistan,24-02-2020,0,0,0,65.0,0.0,1.0,0.0,352.0,0.0,4.0,0.0,13.0,0.0,5.0,0.0,3.0,0.0
Uzbekistan,25-02-2020,0,0,0,56.0,0.0,4.0,0.0,333.0,0.0,6.0,0.0,21.0,0.0,13.0,0.0,3.0,0.0
Uzbekistan,26-02-2020,0,0,0,73.0,0.0,5.0,0.0,310.0,0.0,90.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0
Uzbekistan,27-02-2020,0,0,0,60.0,0.0,-3.0,0.0,350.0,0.0,3.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Uzbekistan,28-02-2020,0,0,0,56.0,0.0,-4.0,0.0,326.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0
Uzbekistan,29-02-2020,0,0,0,68.0,0.0,0.0,0.0,312.0,0.0,1.0,0.0,14.0,0.0,4.0,0.0,4.0,0.0
Uzbekistan,01-03-2020,0,0,0,67.0,0.0,4.0,0.0,312.0,0.0,3.0,0.0,18.0,0.0,6.0,0.0,4.0,0.0
Uzbekistan,02-03-2020,0,0,0,60.0,0.0,4.0,0.0,329.0,0.0,3.0,0.0,19.0,0.0,3.0,0.0,4.0,0.0
Uzbekistan,03-03-2020,0,0,0,53.0,0.0,-2.0,0.0,337.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0
Uzbekistan,04-03-2020,0,0,0,52.0,0.0,-3.0,0.0,378.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Uzbekistan,05-03-2020,0,0,0,52.0,0.0,-3.0,0.0,364.0,0.0,1.0,0.0,11.0,0.0,2.0,0.0,3.0,0.0
