# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Vietnam,22-01-2020,0,0,0,92.0,0.0,15.0,0.0,245.0,0.0,3.0,0.0,24.0,0.0,13.0,0.0,8.0,0.0
Vietnam,23-01-2020,2,0,0,93.0,0.0,16.0,0.0,250.0,0.0,10.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Vietnam,24-01-2020,2,0,0,91.0,0.0,17.0,0.0,252.0,0.0,14.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0
Vietnam,25-01-2020,2,0,0,92.0,0.0,17.0,0.0,250.0,0.0,17.0,0.0,24.0,0.0,15.0,0.0,6.0,0.0
Vietnam,26-01-2020,2,0,0,99.0,0.0,16.0,0.0,252.0,0.0,61.0,0.0,19.0,0.0,13.0,0.0,5.0,0.0
Vietnam,27-01-2020,2,0,0,97.0,0.0,14.0,0.0,250.0,0.0,68.0,0.0,19.0,0.0,13.0,0.0,6.0,0.0
Vietnam,28-01-2020,2,0,0,100.0,0.0,14.0,0.0,245.0,0.0,87.0,0.0,17.0,0.0,12.0,0.0,5.0,0.0
Vietnam,29-01-2020,2,0,0,100.0,0.0,13.0,0.0,240.0,0.0,99.0,0.0,15.0,0.0,11.0,0.0,6.0,0.0
Vietnam,30-01-2020,2,0,0,100.0,0.0,12.0,0.0,246.0,0.0,81.0,0.0,16.0,0.0,8.0,0.0,7.0,0.0
Vietnam,31-01-2020,2,0,0,100.0,0.0,12.0,0.0,250.0,0.0,32.0,0.0,17.0,0.0,12.0,0.0,6.0,0.0
Vietnam,01-02-2020,6,0,1,100.0,0.0,14.0,0.0,250.0,0.0,56.0,0.0,17.0,0.0,12.0,0.0,6.0,0.0
Vietnam,02-02-2020,6,0,1,91.0,0.0,13.0,0.0,249.0,0.0,10.0,0.0,21.0,0.0,12.0,0.0,10.0,0.0
Vietnam,03-02-2020,8,0,1,92.0,0.0,14.0,0.0,251.0,0.0,7.0,0.0,22.0,0.0,13.0,0.0,9.0,0.0
Vietnam,04-02-2020,8,0,1,92.0,0.0,15.0,0.0,246.0,0.0,24.0,0.0,22.0,0.0,13.0,0.0,9.0,0.0
Vietnam,05-02-2020,8,0,1,92.0,0.0,14.0,0.0,246.0,0.0,26.0,0.0,22.0,0.0,11.0,0.0,10.0,0.0
Vietnam,06-02-2020,10,0,1,87.0,0.0,13.0,0.0,252.0,0.0,9.0,0.0,24.0,0.0,12.0,0.0,10.0,0.0
Vietnam,07-02-2020,10,0,1,88.0,0.0,14.0,0.0,250.0,0.0,8.0,0.0,23.0,0.0,14.0,0.0,10.0,0.0
Vietnam,08-02-2020,13,0,1,96.0,0.0,15.0,0.0,247.0,0.0,47.0,0.0,22.0,0.0,13.0,0.0,8.0,0.0
Vietnam,09-02-2020,13,0,1,100.0,0.0,15.0,0.0,244.0,0.0,83.0,0.0,18.0,0.0,13.0,0.0,7.0,0.0
Vietnam,10-02-2020,14,0,1,100.0,0.0,15.0,0.0,236.0,0.0,86.0,0.0,17.0,0.0,14.0,0.0,6.0,0.0
Vietnam,11-02-2020,15,0,6,99.0,0.0,16.0,0.0,246.0,0.0,62.0,0.0,21.0,0.0,15.0,0.0,7.0,0.0
Vietnam,12-02-2020,15,0,6,95.0,0.0,18.0,0.0,243.0,0.0,14.0,0.0,24.0,0.0,15.0,0.0,9.0,0.0
Vietnam,13-02-2020,16,0,7,93.0,0.0,19.0,0.0,241.0,0.0,23.0,0.0,27.0,0.0,16.0,0.0,11.0,0.0
Vietnam,14-02-2020,16,0,7,89.0,0.0,18.0,0.0,253.0,0.0,17.0,0.0,28.0,0.0,16.0,0.0,7.0,0.0
Vietnam,15-02-2020,16,0,7,83.0,0.0,17.0,0.0,248.0,0.0,4.0,0.0,31.0,0.0,17.0,0.0,11.0,0.0
Vietnam,16-02-2020,16,0,7,90.0,0.0,16.0,0.0,245.0,0.0,30.0,0.0,25.0,0.0,13.0,0.0,10.0,0.0
Vietnam,17-02-2020,16,0,7,100.0,0.0,14.0,0.0,254.0,0.0,70.0,0.0,16.0,0.0,11.0,0.0,6.0,0.0
Vietnam,18-02-2020,16,0,7,100.0,0.0,12.0,0.0,257.0,0.0,81.0,0.0,14.0,0.0,12.0,0.0,6.0,0.0
Vietnam,19-02-2020,16,0,7,100.0,0.0,14.0,0.0,258.0,0.0,66.0,0.0,18.0,0.0,12.0,0.0,7.0,0.0
Vietnam,20-02-2020,16,0,7,100.0,0.0,14.0,0.0,256.0,0.0,52.0,0.0,18.0,0.0,13.0,0.0,8.0,0.0
Vietnam,21-02-2020,16,0,14,100.0,0.0,15.0,0.0,256.0,0.0,54.0,0.0,19.0,0.0,12.0,0.0,8.0,0.0
Vietnam,22-02-2020,16,0,14,100.0,0.0,14.0,0.0,258.0,0.0,59.0,0.0,18.0,0.0,12.0,0.0,7.0,0.0
Vietnam,23-02-2020,16,0,14,95.0,0.0,14.0,0.0,261.0,0.0,45.0,0.0,19.0,0.0,10.0,0.0,11.0,0.0
Vietnam,24-02-2020,16,0,14,89.0,0.0,13.0,0.0,265.0,0.0,5.0,0.0,22.0,0.0,10.0,0.0,9.0,0.0
Vietnam,25-02-2020,16,0,16,90.0,0.0,14.0,0.0,263.0,0.0,9.0,0.0,23.0,0.0,14.0,0.0,9.0,0.0
Vietnam,26-02-2020,16,0,16,92.0,0.0,16.0,0.0,259.0,0.0,27.0,0.0,24.0,0.0,14.0,0.0,11.0,0.0
Vietnam,27-02-2020,16,0,16,93.0,0.0,16.0,0.0,257.0,0.0,21.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Vietnam,28-02-2020,16,0,16,91.0,0.0,15.0,0.0,259.0,0.0,21.0,0.0,24.0,0.0,15.0,0.0,11.0,0.0
Vietnam,29-02-2020,16,0,16,90.0,0.0,16.0,0.0,259.0,0.0,15.0,0.0,25.0,0.0,15.0,0.0,12.0,0.0
Vietnam,01-03-2020,16,0,16,90.0,0.0,17.0,0.0,261.0,0.0,11.0,0.0,27.0,0.0,16.0,0.0,11.0,0.0
Vietnam,02-03-2020,16,0,16,93.0,0.0,18.0,0.0,263.0,0.0,20.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Vietnam,03-03-2020,16,0,16,93.0,0.0,17.0,0.0,260.0,0.0,15.0,0.0,24.0,0.0,15.0,0.0,10.0,0.0
Vietnam,04-03-2020,16,0,16,97.0,0.0,18.0,0.0,259.0,0.0,54.0,0.0,23.0,0.0,16.0,0.0,6.0,0.0
Vietnam,05-03-2020,16,0,16,99.0,0.0,17.0,0.0,253.0,0.0,75.0,0.0,21.0,0.0,15.0,0.0,6.0,0.0
Vietnam,06-03-2020,16,0,16,96.0,0.0,18.0,0.0,252.0,0.0,43.0,0.0,24.0,0.0,16.0,0.0,6.0,0.0
Vietnam,07-03-2020,18,0,16,89.0,0.0,18.0,0.0,260.0,0.0,8.0,0.0,29.0,0.0,17.0,0.0,13.0,0.0
Vietnam,08-03-2020,30,0,16,84.0,0.0,19.0,0.0,260.0,0.0,8.0,0.0,31.0,0.0,18.0,0.0,13.0,0.0
Vietnam,09-03-2020,30,0,16,70.0,0.0,16.0,0.0,258.0,0.0,11.0,0.0,33.0,0.0,19.0,0.0,13.0,0.0
